erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0.000692999,0.00217156,164.912,0,0,0,0,0,0,0,0,514675,0,0,0,484633,0,0,0
1,2000,0.047849,0.147061,140.079,0,0,0,0,0,0,0,0,486213,0,0,0,465939,0,0,0
2,3000,0.0998469,0.290612,116.243,0,0,0,0,0,0,0,0,454955,0,0,0,445199,0,0,0
3,4000,0.141812,0.395616,98.9639,0,0,0,0,0,0,0,0,433205,0,0,0,424984,0,0,0
4,5000,0.176049,0.472612,86.5506,0,0,0,0,0,0,0,0,417048,0,0,0,406904,0,0,0
5,6000,0.205821,0.53314,76.9645,0,0,0,0,0,0,0,0,402949,0,0,0,391231,0,0,0
6,7000,0.230371,0.577309,69.9635,0,0,0,0,0,0,0,0,390588,0,0,0,379042,0,0,0
7,8000,0.252945,0.614947,64.1952,0,0,0,0,0,0,0,0,378415,0,0,0,368641,0,0,0
8,9000,0.273148,0.646245,59.5376,0,0,0,0,0,0,0,0,365921,0,0,0,360932,0,0,0
9,10000,0.291133,0.671555,55.8311,0,0,0,0,0,0,0,0,354393,0,0,0,354475,0,0,0
10,11000,0.30976,0.693391,52.4633,0,0,0,0,0,0,0,0,344385,0,0,0,345856,0,0,0
11,12000,0.327002,0.70985,49.7484,0,0,0,0,0,0,0,0,333959,0,0,0,339040,0,0,0
12,13000,0.3441,0.726239,47.141,0,0,0,0,0,0,0,0,325309,0,0,0,330592,0,0,0
13,14000,0.360064,0.739032,44.9474,0,0,0,0,0,0,0,0,318418,0,0,0,321519,0,0,0
14,15000,0.375972,0.751434,42.9002,0,0,0,0,0,0,0,0,310469,0,0,0,313560,0,0,0
15,16000,0.391715,0.762572,40.9785,0,0,0,0,0,0,0,0,303674,0,0,0,304612,0,0,0
16,17000,0.406296,0.772695,39.2217,0,0,0,0,0,0,0,0,296561,0,0,0,297144,0,0,0
17,18000,0.420952,0.781143,37.6429,0,0,0,0,0,0,0,0,290282,0,0,0,288767,0,0,0
18,19000,0.434688,0.788205,36.2082,0,0,0,0,0,0,0,0,283233,0,0,0,282080,0,0,0
19,20000,0.447791,0.795683,34.8628,0,0,0,0,0,0,0,0,276346,0,0,0,275864,0,0,0
20,21000,0.459569,0.801445,33.7037,0,0,0,0,0,0,0,0,270988,0,0,0,269444,0,0,0
21,22000,0.471125,0.807564,32.527,0,0,0,0,0,0,0,0,265838,0,0,0,263038,0,0,0
22,23000,0.48182,0.813373,31.4766,0,0,0,0,0,0,0,0,260803,0,0,0,257378,0,0,0
23,24000,0.492953,0.818505,30.4273,0,0,0,0,0,0,0,0,256110,0,0,0,250938,0,0,0
24,25000,0.502657,0.824163,29.4651,0,0,0,0,0,0,0,0,251837,0,0,0,245506,0,0,0
25,26000,0.512851,0.82793,28.5994,0,0,0,0,0,0,0,0,247013,0,0,0,240136,0,0,0
26,27000,0.521367,0.832952,27.7439,0,0,0,0,0,0,0,0,243995,0,0,0,234638,0,0,0
27,28000,0.529775,0.836083,27.0249,0,0,0,0,0,0,0,0,240112,0,0,0,230113,0,0,0
28,29000,0.53863,0.840031,26.2584,0,0,0,0,0,0,0,0,235808,0,0,0,225562,0,0,0
29,30000,0.545833,0.842346,25.7026,0,0,0,0,0,0,0,0,232751,0,0,0,221416,0,0,0
30,31000,0.553913,0.846549,25.0008,0,0,0,0,0,0,0,0,228551,0,0,0,217536,0,0,0
31,32000,0.561059,0.84892,24.4196,0,0,0,0,0,0,0,0,225637,0,0,0,213304,0,0,0
32,33000,0.568245,0.852292,23.8345,0,0,0,0,0,0,0,0,222118,0,0,0,209637,0,0,0
33,34000,0.573997,0.853948,23.3862,0,0,0,0,0,0,0,0,219617,0,0,0,206386,0,0,0
34,35000,0.580462,0.856545,22.8838,0,0,0,0,0,0,0,0,217546,0,0,0,201992,0,0,0
35,36000,0.587492,0.860734,22.2809,0,0,0,0,0,0,0,0,214464,0,0,0,198044,0,0,0
36,37000,0.59338,0.862491,21.8654,0,0,0,0,0,0,0,0,211970,0,0,0,194650,0,0,0
37,38000,0.598826,0.864194,21.4684,0,0,0,0,0,0,0,0,209844,0,0,0,191330,0,0,0
38,39000,0.604197,0.866576,21.0621,0,0,0,0,0,0,0,0,208591,0,0,0,187212,0,0,0
39,40000,0.60972,0.868697,20.6367,0,0,0,0,0,0,0,0,206604,0,0,0,183676,0,0,0
40,41000,0.614771,0.871439,20.2066,0,0,0,0,0,0,0,0,204948,0,0,0,180281,0,0,0
41,42000,0.619263,0.872566,19.9265,0,0,0,0,0,0,0,0,204130,0,0,0,176607,0,0,0
42,43000,0.62432,0.874784,19.5294,0,0,0,0,0,0,0,0,201981,0,0,0,173699,0,0,0
43,44000,0.629055,0.876476,19.1985,0,0,0,0,0,0,0,0,200547,0,0,0,170398,0,0,0
44,45000,0.634195,0.879071,18.8447,0,0,0,0,0,0,0,0,198589,0,0,0,167216,0,0,0
45,46000,0.639832,0.881263,18.4116,0,0,0,0,0,0,0,0,196331,0,0,0,163837,0,0,0
46,47000,0.643877,0.882453,18.1838,0,0,0,0,0,0,0,0,194717,0,0,0,161406,0,0,0
47,48000,0.648696,0.884324,17.8207,0,0,0,0,0,0,0,0,193057,0,0,0,158247,0,0,0
48,49000,0.6532,0.884646,17.6023,0,0,0,0,0,0,0,0,190872,0,0,0,155928,0,0,0
49,50000,0.657899,0.887522,17.2222,0,0,0,0,0,0,0,0,188531,0,0,0,153570,0,0,0
50,51000,0.662382,0.8885,16.9923,0,0,0,0,0,0,0,0,186880,0,0,0,150738,0,0,0
51,52000,0.666475,0.88984,16.7046,0,0,0,0,0,0,0,0,185072,0,0,0,148453,0,0,0
52,53000,0.67064,0.891746,16.4359,0,0,0,0,0,0,0,0,182643,0,0,0,146717,0,0,0
53,54000,0.674799,0.89261,16.1923,0,0,0,0,0,0,0,0,180208,0,0,0,144993,0,0,0
54,55000,0.678372,0.894543,15.8935,0,0,0,0,0,0,0,0,179589,0,0,0,142039,0,0,0
55,56000,0.682134,0.895019,15.7232,0,0,0,0,0,0,0,0,177229,0,0,0,140637,0,0,0
56,57000,0.686184,0.897518,15.4115,0,0,0,0,0,0,0,0,174634,0,0,0,139182,0,0,0
57,58000,0.689381,0.897648,15.2922,0,0,0,0,0,0,0,0,173482,0,0,0,137137,0,0,0
58,59000,0.693293,0.899762,14.9901,0,0,0,0,0,0,0,0,170940,0,0,0,135767,0,0,0
59,60000,0.696502,0.901007,14.7672,0,0,0,0,0,0,0,0,169874,0,0,0,133624,0,0,0
60,61000,0.700033,0.902985,14.5379,0,0,0,0,0,0,0,0,168153,0,0,0,131814,0,0,0
61,62000,0.702964,0.903829,14.3565,0,0,0,0,0,0,0,0,166083,0,0,0,130953,0,0,0
62,63000,0.706349,0.903839,14.2196,0,0,0,0,0,0,0,0,164560,0,0,0,129091,0,0,0
63,64000,0.709654,0.90607,13.9635,0,0,0,0,0,0,0,0,162715,0,0,0,127631,0,0,0
64,65000,0.71263,0.907023,13.7898,0,0,0,0,0,0,0,0,160730,0,0,0,126640,0,0,0
65,66000,0.715652,0.908032,13.6121,0,0,0,0,0,0,0,0,159559,0,0,0,124789,0,0,0
66,67000,0.718871,0.908908,13.4395,0,0,0,0,0,0,0,0,157347,0,0,0,123782,0,0,0
67,68000,0.721298,0.909921,13.26,0,0,0,0,0,0,0,0,156787,0,0,0,121915,0,0,0
68,69000,0.723952,0.910409,13.1537,0,0,0,0,0,0,0,0,154829,0,0,0,121219,0,0,0
69,70000,0.726682,0.911585,12.9758,0,0,0,0,0,0,0,0,153669,0,0,0,119649,0,0,0
70,71000,0.728966,0.912531,12.8225,0,0,0,0,0,0,0,0,152328,0,0,0,118706,0,0,0
71,72000,0.731482,0.913444,12.6732,0,0,0,0,0,0,0,0,150530,0,0,0,117988,0,0,0
72,73000,0.734076,0.914135,12.5425,0,0,0,0,0,0,0,0,149076,0,0,0,116848,0,0,0
73,74000,0.736427,0.915135,12.394,0,0,0,0,0,0,0,0,148008,0,0,0,115565,0,0,0
74,75000,0.73877,0.916249,12.2293,0,0,0,0,0,0,0,0,146957,0,0,0,114273,0,0,0
75,76000,0.741556,0.916554,12.1174,0,0,0,0,0,0,0,0,145421,0,0,0,113023,0,0,0
76,77000,0.743731,0.917696,11.986,0,0,0,0,0,0,0,0,144075,0,0,0,112194,0,0,0
77,78000,0.746035,0.918876,11.8386,0,0,0,0,0,0,0,0,142587,0,0,0,111378,0,0,0
78,79000,0.748161,0.919264,11.7425,0,0,0,0,0,0,0,0,141681,0,0,0,110158,0,0,0
79,80000,0.75009,0.920282,11.5939,0,0,0,0,0,0,0,0,140798,0,0,0,109112,0,0,0
80,81000,0.752347,0.921088,11.4626,0,0,0,0,0,0,0,0,139236,0,0,0,108417,0,0,0
81,82000,0.754009,0.92145,11.3803,0,0,0,0,0,0,0,0,137818,0,0,0,108173,0,0,0
82,83000,0.7569,0.922383,11.225,0,0,0,0,0,0,0,0,136534,0,0,0,106566,0,0,0
83,84000,0.758608,0.923314,11.1258,0,0,0,0,0,0,0,0,135309,0,0,0,106083,0,0,0
84,85000,0.760645,0.924203,10.9834,0,0,0,0,0,0,0,0,134439,0,0,0,104916,0,0,0
85,86000,0.762615,0.924568,10.9239,0,0,0,0,0,0,0,0,133282,0,0,0,104103,0,0,0
86,87000,0.7649,0.925752,10.7762,0,0,0,0,0,0,0,0,131958,0,0,0,103142,0,0,0
87,88000,0.766654,0.925793,10.7001,0,0,0,0,0,0,0,0,130920,0,0,0,102426,0,0,0
88,89000,0.768715,0.926926,10.5742,0,0,0,0,0,0,0,0,130092,0,0,0,101193,0,0,0
89,90000,0.77049,0.926912,10.5242,0,0,0,0,0,0,0,0,128882,0,0,0,100628,0,0,0
90,91000,0.772129,0.927724,10.4272,0,0,0,0,0,0,0,0,127531,0,0,0,100340,0,0,0
91,92000,0.774318,0.92846,10.3154,0,0,0,0,0,0,0,0,126558,0,0,0,99124,0,0,0
92,93000,0.776445,0.929368,10.1862,0,0,0,0,0,0,0,0,125326,0,0,0,98229,0,0,0
93,94000,0.77805,0.930026,10.097,0,0,0,0,0,0,0,0,124497,0,0,0,97453,0,0,0
94,95000,0.780426,0.929967,10.0317,0,0,0,0,0,0,0,0,123024,0,0,0,96550,0,0,0
95,96000,0.781804,0.931127,9.92714,0,0,0,0,0,0,0,0,122286,0,0,0,95910,0,0,0
96,97000,0.783673,0.931665,9.83536,0,0,0,0,0,0,0,0,121618,0,0,0,94709,0,0,0
97,98000,0.785515,0.932203,9.74204,0,0,0,0,0,0,0,0,119935,0,0,0,94550,0,0,0
98,99000,0.787579,0.93289,9.64808,0,0,0,0,0,0,0,0,119293,0,0,0,93128,0,0,0
99,100000,0.788982,0.933181,9.59655,0,0,0,0,0,0,0,0,118646,0,0,0,92372,0,0,0
