erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0.253027,0.588139,98.9386,0,0,0,0,0,0,0,0,25260,219154,92968,0,262764,138499,8329,0
1,2000,0.385271,0.721604,62.7542,0,0,0,0,0,0,0,0,25933,166739,61677,0,210214,121752,28415,0
2,3000,0.475638,0.780844,47.2492,0,0,0,0,0,0,0,0,26355,135829,40188,0,182971,102617,36403,0
3,4000,0.540907,0.817133,38.1916,0,0,0,0,0,0,0,0,25981,116664,27856,0,165095,90539,32958,0
4,5000,0.589932,0.842056,32.1297,0,0,0,0,0,0,0,0,26321,100944,21201,0,151764,83137,26701,0
5,6000,0.629719,0.861046,27.6919,0,0,0,0,0,0,0,0,26889,87608,16948,0,140468,76828,21540,0
6,7000,0.66185,0.875553,24.298,0,0,0,0,0,0,0,0,27208,76816,14315,0,131201,71191,17419,0
7,8000,0.687266,0.886803,21.7102,0,0,0,0,0,0,0,0,26977,69282,12238,0,123522,66629,14086,0
8,9000,0.708778,0.896711,19.587,0,0,0,0,0,0,0,0,26671,61994,10863,0,117015,63068,11611,0
9,10000,0.727103,0.904665,17.846,0,0,0,0,0,0,0,0,26605,57041,9532,0,111191,58848,9680,0
10,11000,0.742815,0.91087,16.4304,0,0,0,0,0,0,0,0,26771,52002,8591,0,105775,55735,8311,0
11,12000,0.756688,0.917074,15.1924,0,0,0,0,0,0,0,0,26269,47734,7798,0,101351,53198,6962,0
12,13000,0.768615,0.922902,14.1019,0,0,0,0,0,0,0,0,26242,44811,7144,0,97331,49752,6105,0
13,14000,0.779591,0.927051,13.2156,0,0,0,0,0,0,0,0,25696,42256,6258,0,93669,47189,5341,0
14,15000,0.789246,0.930695,12.4265,0,0,0,0,0,0,0,0,25838,40123,5640,0,90272,44456,4425,0
15,16000,0.797941,0.934432,11.7283,0,0,0,0,0,0,0,0,25878,37857,5293,0,86725,42525,3781,0
16,17000,0.80591,0.937468,11.1067,0,0,0,0,0,0,0,0,26448,35528,4870,0,83495,40388,3361,0
17,18000,0.812958,0.939627,10.608,0,0,0,0,0,0,0,0,26713,34219,4401,0,80401,38308,3000,0
18,19000,0.819352,0.942969,10.0463,0,0,0,0,0,0,0,0,26737,32658,3941,0,77909,36758,2645,0
19,20000,0.825629,0.944805,9.63054,0,0,0,0,0,0,0,0,27359,31226,3537,0,75042,34877,2330,0
20,21000,0.83124,0.946738,9.23257,0,0,0,0,0,0,0,0,27217,29886,3223,0,72749,33464,2221,0
21,22000,0.836471,0.948931,8.84234,0,0,0,0,0,0,0,0,27829,29120,2910,0,69907,31877,1886,0
