erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0.00954699,0.0296998,180.804,0,0,0,0,0,0,0,0,464180,0,0,0,526274,0,0,0
1,2000,0.0767329,0.227155,135.681,0,0,0,0,0,0,0,0,416722,0,0,0,506546,0,0,0
2,3000,0.129477,0.352568,108.873,0,0,0,0,0,0,0,0,386597,0,0,0,483927,0,0,0
3,4000,0.167935,0.429641,92.9438,0,0,0,0,0,0,0,0,362575,0,0,0,469491,0,0,0
4,5000,0.203584,0.49228,80.9546,0,0,0,0,0,0,0,0,343846,0,0,0,452571,0,0,0
5,6000,0.233593,0.541198,72.1053,0,0,0,0,0,0,0,0,333488,0,0,0,432920,0,0,0
6,7000,0.260274,0.580095,65.0992,0,0,0,0,0,0,0,0,323328,0,0,0,416399,0,0,0
7,8000,0.285458,0.611335,59.473,0,0,0,0,0,0,0,0,310552,0,0,0,403991,0,0,0
8,9000,0.313039,0.635338,54.8188,0,0,0,0,0,0,0,0,294263,0,0,0,392699,0,0,0
9,10000,0.342852,0.654078,50.7256,0,0,0,0,0,0,0,0,278422,0,0,0,378727,0,0,0
10,11000,0.368177,0.669857,47.3043,0,0,0,0,0,0,0,0,264875,0,0,0,366949,0,0,0
11,12000,0.392112,0.683906,44.3095,0,0,0,0,0,0,0,0,252537,0,0,0,355352,0,0,0
12,13000,0.412352,0.696031,41.7547,0,0,0,0,0,0,0,0,243379,0,0,0,344270,0,0,0
13,14000,0.430329,0.707788,39.5066,0,0,0,0,0,0,0,0,235051,0,0,0,334621,0,0,0
14,15000,0.446699,0.718253,37.5238,0,0,0,0,0,0,0,0,228413,0,0,0,324889,0,0,0
15,16000,0.461582,0.728266,35.7235,0,0,0,0,0,0,0,0,222230,0,0,0,316189,0,0,0
16,17000,0.474697,0.73688,34.1754,0,0,0,0,0,0,0,0,216967,0,0,0,308337,0,0,0
17,18000,0.486069,0.743764,32.8794,0,0,0,0,0,0,0,0,212684,0,0,0,301248,0,0,0
18,19000,0.497759,0.751244,31.5611,0,0,0,0,0,0,0,0,207904,0,0,0,294338,0,0,0
19,20000,0.50846,0.757726,30.3992,0,0,0,0,0,0,0,0,203782,0,0,0,287758,0,0,0
20,21000,0.518236,0.763854,29.3207,0,0,0,0,0,0,0,0,199649,0,0,0,282115,0,0,0
21,22000,0.528013,0.770011,28.3226,0,0,0,0,0,0,0,0,195783,0,0,0,276204,0,0,0
22,23000,0.536814,0.775499,27.4072,0,0,0,0,0,0,0,0,191693,0,0,0,271493,0,0,0
23,24000,0.545431,0.781261,26.5248,0,0,0,0,0,0,0,0,189231,0,0,0,265338,0,0,0
24,25000,0.553379,0.785559,25.7978,0,0,0,0,0,0,0,0,185757,0,0,0,260864,0,0,0
25,26000,0.561318,0.790827,25.0052,0,0,0,0,0,0,0,0,182465,0,0,0,256217,0,0,0
26,27000,0.56813,0.795351,24.3513,0,0,0,0,0,0,0,0,179825,0,0,0,252045,0,0,0
27,28000,0.574968,0.799506,23.7202,0,0,0,0,0,0,0,0,177162,0,0,0,247870,0,0,0
28,29000,0.581157,0.803307,23.1264,0,0,0,0,0,0,0,0,175381,0,0,0,243462,0,0,0
29,30000,0.587721,0.807669,22.5328,0,0,0,0,0,0,0,0,173561,0,0,0,238718,0,0,0
30,31000,0.59349,0.811166,21.9995,0,0,0,0,0,0,0,0,170852,0,0,0,235658,0,0,0
31,32000,0.599773,0.815345,21.4213,0,0,0,0,0,0,0,0,168518,0,0,0,231709,0,0,0
32,33000,0.605431,0.818822,20.9216,0,0,0,0,0,0,0,0,166951,0,0,0,227618,0,0,0
33,34000,0.611017,0.822027,20.4913,0,0,0,0,0,0,0,0,164313,0,0,0,224670,0,0,0
34,35000,0.616038,0.825533,20.0474,0,0,0,0,0,0,0,0,163039,0,0,0,220923,0,0,0
35,36000,0.620879,0.828186,19.6431,0,0,0,0,0,0,0,0,161341,0,0,0,217780,0,0,0
36,37000,0.625293,0.831428,19.2252,0,0,0,0,0,0,0,0,159500,0,0,0,215207,0,0,0
37,38000,0.630924,0.835369,18.7596,0,0,0,0,0,0,0,0,157144,0,0,0,211932,0,0,0
38,39000,0.635062,0.837233,18.4242,0,0,0,0,0,0,0,0,155643,0,0,0,209295,0,0,0
39,40000,0.639487,0.840199,18.0783,0,0,0,0,0,0,0,0,154239,0,0,0,206274,0,0,0
40,41000,0.643678,0.84306,17.7298,0,0,0,0,0,0,0,0,152222,0,0,0,204100,0,0,0
41,42000,0.647544,0.844908,17.4487,0,0,0,0,0,0,0,0,150559,0,0,0,201897,0,0,0
42,43000,0.651383,0.847251,17.1191,0,0,0,0,0,0,0,0,148931,0,0,0,199686,0,0,0
43,44000,0.655563,0.849878,16.7901,0,0,0,0,0,0,0,0,147689,0,0,0,196748,0,0,0
44,45000,0.659531,0.851891,16.4893,0,0,0,0,0,0,0,0,145057,0,0,0,195412,0,0,0
45,46000,0.663003,0.854488,16.2223,0,0,0,0,0,0,0,0,144298,0,0,0,192699,0,0,0
46,47000,0.666173,0.857072,15.9134,0,0,0,0,0,0,0,0,142745,0,0,0,191082,0,0,0
47,48000,0.669745,0.857875,15.7323,0,0,0,0,0,0,0,0,141553,0,0,0,188702,0,0,0
48,49000,0.672487,0.860174,15.4687,0,0,0,0,0,0,0,0,140284,0,0,0,187229,0,0,0
49,50000,0.676278,0.862863,15.191,0,0,0,0,0,0,0,0,138954,0,0,0,184768,0,0,0
50,51000,0.678755,0.86436,14.9937,0,0,0,0,0,0,0,0,138142,0,0,0,183103,0,0,0
51,52000,0.681167,0.865216,14.8347,0,0,0,0,0,0,0,0,137649,0,0,0,181184,0,0,0
52,53000,0.684961,0.867904,14.5386,0,0,0,0,0,0,0,0,135626,0,0,0,179413,0,0,0
53,54000,0.687485,0.869356,14.3577,0,0,0,0,0,0,0,0,134677,0,0,0,177838,0,0,0
54,55000,0.690524,0.871395,14.1086,0,0,0,0,0,0,0,0,132892,0,0,0,176584,0,0,0
55,56000,0.693334,0.872436,13.9353,0,0,0,0,0,0,0,0,131191,0,0,0,175475,0,0,0
56,57000,0.695822,0.873768,13.7678,0,0,0,0,0,0,0,0,131002,0,0,0,173176,0,0,0
57,58000,0.698179,0.875814,13.5633,0,0,0,0,0,0,0,0,129460,0,0,0,172361,0,0,0
58,59000,0.700724,0.876899,13.3929,0,0,0,0,0,0,0,0,128322,0,0,0,170954,0,0,0
59,60000,0.703052,0.878852,13.2067,0,0,0,0,0,0,0,0,127032,0,0,0,169916,0,0,0
