erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0,0,85.9886,0,0,0,0,509478,0,0,0,490225,0,0,0,298,0,0,0
1,2000,0.000192,0.000601644,85.9339,0,0,0,0,507865,0,0,0,473973,0,0,0,17971,0,0,0
2,3000,0.017302,0.0541758,81.0592,0,0,0,0,489637,0,0,0,459068,0,0,0,33994,0,0,0
3,4000,0.046169,0.143016,73.1875,0,0,0,0,468145,0,0,0,445238,0,0,0,40449,0,0,0
4,5000,0.0736519,0.222432,66.3574,0,0,0,0,447505,0,0,0,430574,0,0,0,48270,0,0,0
5,6000,0.0989799,0.289623,60.523,0,0,0,0,431429,0,0,0,417898,0,0,0,51694,0,0,0
6,7000,0.121922,0.349524,55.3968,0,0,0,0,419457,0,0,0,405975,0,0,0,52647,0,0,0
7,8000,0.14116,0.396179,51.377,0,0,0,0,409355,0,0,0,395056,0,0,0,54430,0,0,0
8,9000,0.158892,0.436248,47.9938,0,0,0,0,400536,0,0,0,384534,0,0,0,56039,0,0,0
9,10000,0.17566,0.472776,44.9672,0,0,0,0,392271,0,0,0,375672,0,0,0,56398,0,0,0
10,11000,0.190878,0.504786,42.3159,0,0,0,0,383901,0,0,0,367935,0,0,0,57287,0,0,0
11,12000,0.204535,0.530965,40.0646,0,0,0,0,375998,0,0,0,360120,0,0,0,59348,0,0,0
12,13000,0.21752,0.554847,38.0807,0,0,0,0,369083,0,0,0,353234,0,0,0,60164,0,0,0
13,14000,0.230434,0.577517,36.2041,0,0,0,0,361719,0,0,0,347008,0,0,0,60840,0,0,0
14,15000,0.242119,0.59691,34.6241,0,0,0,0,354039,0,0,0,340834,0,0,0,63009,0,0,0
15,16000,0.252925,0.613134,33.3224,0,0,0,0,345818,0,0,0,334761,0,0,0,66497,0,0,0
16,17000,0.263967,0.630196,31.9815,0,0,0,0,338890,0,0,0,329508,0,0,0,67636,0,0,0
17,18000,0.274241,0.644189,30.8327,0,0,0,0,331569,0,0,0,323710,0,0,0,70481,0,0,0
18,19000,0.283368,0.655546,29.9328,0,0,0,0,325502,0,0,0,318613,0,0,0,72518,0,0,0
19,20000,0.293095,0.668028,28.9587,0,0,0,0,319364,0,0,0,313103,0,0,0,74439,0,0,0
20,21000,0.303272,0.68008,27.9878,0,0,0,0,313285,0,0,0,308525,0,0,0,74919,0,0,0
21,22000,0.312203,0.690008,27.1817,0,0,0,0,307089,0,0,0,303736,0,0,0,76973,0,0,0
22,23000,0.321154,0.69939,26.4213,0,0,0,0,302857,0,0,0,299420,0,0,0,76570,0,0,0
23,24000,0.329158,0.706758,25.7824,0,0,0,0,298735,0,0,0,294966,0,0,0,77142,0,0,0
24,25000,0.337824,0.714716,25.1052,0,0,0,0,294390,0,0,0,289694,0,0,0,78093,0,0,0
25,26000,0.347319,0.722718,24.4247,0,0,0,0,288622,0,0,0,285137,0,0,0,78923,0,0,0
26,27000,0.355474,0.727998,23.8805,0,0,0,0,285478,0,0,0,279644,0,0,0,79405,0,0,0
27,28000,0.364046,0.735598,23.272,0,0,0,0,281146,0,0,0,274680,0,0,0,80129,0,0,0
28,29000,0.372276,0.742666,22.7083,0,0,0,0,277053,0,0,0,270076,0,0,0,80596,0,0,0
29,30000,0.380645,0.747822,22.1829,0,0,0,0,273745,0,0,0,265112,0,0,0,80499,0,0,0
30,31000,0.388285,0.752678,21.7361,0,0,0,0,269093,0,0,0,260568,0,0,0,82055,0,0,0
31,32000,0.396171,0.758092,21.2211,0,0,0,0,265616,0,0,0,256325,0,0,0,81889,0,0,0
32,33000,0.404027,0.762947,20.7686,0,0,0,0,262080,0,0,0,252443,0,0,0,81451,0,0,0
33,34000,0.411319,0.767234,20.3493,0,0,0,0,258802,0,0,0,247958,0,0,0,81922,0,0,0
34,35000,0.4193,0.770085,19.9446,0,0,0,0,254670,0,0,0,244080,0,0,0,81951,0,0,0
35,36000,0.426733,0.77494,19.5153,0,0,0,0,250536,0,0,0,240436,0,0,0,82296,0,0,0
36,37000,0.433661,0.779483,19.131,0,0,0,0,246983,0,0,0,237168,0,0,0,82189,0,0,0
37,38000,0.440401,0.784229,18.753,0,0,0,0,243740,0,0,0,233672,0,0,0,82188,0,0,0
38,39000,0.446916,0.78747,18.3835,0,0,0,0,240848,0,0,0,230807,0,0,0,81430,0,0,0
39,40000,0.45229,0.790709,18.1074,0,0,0,0,238668,0,0,0,227327,0,0,0,81716,0,0,0
40,41000,0.459884,0.793895,17.7364,0,0,0,0,234496,0,0,0,224580,0,0,0,81041,0,0,0
41,42000,0.465003,0.796531,17.4753,0,0,0,0,232186,0,0,0,221749,0,0,0,81063,0,0,0
42,43000,0.4703,0.799687,17.1821,0,0,0,0,230121,0,0,0,218404,0,0,0,81176,0,0,0
43,44000,0.476695,0.802911,16.859,0,0,0,0,227283,0,0,0,216456,0,0,0,79567,0,0,0
44,45000,0.48297,0.806371,16.5558,0,0,0,0,224114,0,0,0,213703,0,0,0,79214,0,0,0
45,46000,0.4878,0.808361,16.3087,0,0,0,0,222014,0,0,0,211011,0,0,0,79176,0,0,0
46,47000,0.493597,0.811048,16.0391,0,0,0,0,220323,0,0,0,208373,0,0,0,77708,0,0,0
47,48000,0.498332,0.8137,15.779,0,0,0,0,218209,0,0,0,205532,0,0,0,77928,0,0,0
48,49000,0.503078,0.815975,15.561,0,0,0,0,216583,0,0,0,202881,0,0,0,77458,0,0,0
49,50000,0.508193,0.819116,15.3103,0,0,0,0,213844,0,0,0,200628,0,0,0,77335,0,0,0
50,51000,0.513187,0.822125,15.0441,0,0,0,0,211425,0,0,0,197802,0,0,0,77586,0,0,0
51,52000,0.517483,0.82266,14.8734,0,0,0,0,209322,0,0,0,195390,0,0,0,77805,0,0,0
52,53000,0.522029,0.825612,14.6515,0,0,0,0,207744,0,0,0,192481,0,0,0,77746,0,0,0
53,54000,0.526779,0.82839,14.4129,0,0,0,0,205280,0,0,0,190311,0,0,0,77630,0,0,0
54,55000,0.530659,0.829616,14.2501,0,0,0,0,204053,0,0,0,187442,0,0,0,77846,0,0,0
55,56000,0.534907,0.831245,14.0479,0,0,0,0,202393,0,0,0,184292,0,0,0,78408,0,0,0
56,57000,0.539734,0.834026,13.8281,0,0,0,0,200434,0,0,0,181469,0,0,0,78363,0,0,0
57,58000,0.542831,0.835406,13.6869,0,0,0,0,199294,0,0,0,179056,0,0,0,78819,0,0,0
58,59000,0.547143,0.837383,13.4966,0,0,0,0,197284,0,0,0,176835,0,0,0,78738,0,0,0
59,60000,0.551276,0.839602,13.3055,0,0,0,0,195985,0,0,0,173982,0,0,0,78757,0,0,0
60,61000,0.554525,0.84051,13.1787,0,0,0,0,194862,0,0,0,171710,0,0,0,78903,0,0,0
61,62000,0.558294,0.843612,12.9854,0,0,0,0,193483,0,0,0,168995,0,0,0,79228,0,0,0
62,63000,0.562664,0.844959,12.8045,0,0,0,0,191841,0,0,0,166708,0,0,0,78787,0,0,0
63,64000,0.565787,0.845068,12.7107,0,0,0,0,189866,0,0,0,164957,0,0,0,79390,0,0,0
64,65000,0.568811,0.846732,12.5674,0,0,0,0,189257,0,0,0,162210,0,0,0,79722,0,0,0
65,66000,0.572248,0.849155,12.4288,0,0,0,0,187603,0,0,0,160115,0,0,0,80034,0,0,0
66,67000,0.574974,0.849176,12.3176,0,0,0,0,186736,0,0,0,158283,0,0,0,80007,0,0,0
67,68000,0.578508,0.851001,12.1542,0,0,0,0,185465,0,0,0,155865,0,0,0,80162,0,0,0
68,69000,0.582248,0.853164,12.0114,0,0,0,0,184147,0,0,0,154015,0,0,0,79590,0,0,0
69,70000,0.585179,0.854404,11.893,0,0,0,0,182974,0,0,0,152096,0,0,0,79751,0,0,0
70,71000,0.58807,0.855432,11.7731,0,0,0,0,181850,0,0,0,150163,0,0,0,79917,0,0,0
71,72000,0.591439,0.858759,11.5879,0,0,0,0,180444,0,0,0,148983,0,0,0,79134,0,0,0
72,73000,0.593973,0.8575,11.5569,0,0,0,0,179801,0,0,0,146470,0,0,0,79756,0,0,0
73,74000,0.59736,0.860152,11.3817,0,0,0,0,177983,0,0,0,145592,0,0,0,79065,0,0,0
74,75000,0.599718,0.861302,11.2793,0,0,0,0,177148,0,0,0,143391,0,0,0,79743,0,0,0
75,76000,0.602169,0.862299,11.1902,0,0,0,0,176368,0,0,0,142049,0,0,0,79414,0,0,0
76,77000,0.60518,0.862879,11.088,0,0,0,0,174620,0,0,0,140862,0,0,0,79338,0,0,0
77,78000,0.608206,0.865178,10.9391,0,0,0,0,173644,0,0,0,139026,0,0,0,79124,0,0,0
78,79000,0.610117,0.864727,10.8905,0,0,0,0,172928,0,0,0,136729,0,0,0,80226,0,0,0
79,80000,0.613092,0.86677,10.7659,0,0,0,0,171158,0,0,0,135961,0,0,0,79789,0,0,0
80,81000,0.614844,0.867101,10.7046,0,0,0,0,170905,0,0,0,133864,0,0,0,80387,0,0,0
81,82000,0.618067,0.868319,10.5854,0,0,0,0,169097,0,0,0,133130,0,0,0,79706,0,0,0
82,83000,0.620078,0.869675,10.4981,0,0,0,0,167896,0,0,0,131774,0,0,0,80252,0,0,0
83,84000,0.6227,0.870738,10.3932,0,0,0,0,167066,0,0,0,130760,0,0,0,79474,0,0,0
84,85000,0.625656,0.871409,10.308,0,0,0,0,165842,0,0,0,128977,0,0,0,79525,0,0,0
85,86000,0.627746,0.87319,10.1909,0,0,0,0,165022,0,0,0,127985,0,0,0,79247,0,0,0
86,87000,0.630667,0.873734,10.1151,0,0,0,0,163744,0,0,0,126627,0,0,0,78962,0,0,0
87,88000,0.63327,0.875563,10.0021,0,0,0,0,162153,0,0,0,125684,0,0,0,78893,0,0,0
88,89000,0.636061,0.875358,9.93956,0,0,0,0,160793,0,0,0,124571,0,0,0,78575,0,0,0
89,90000,0.638625,0.877458,9.80278,0,0,0,0,159905,0,0,0,123146,0,0,0,78324,0,0,0
90,91000,0.640909,0.877025,9.77179,0,0,0,0,158612,0,0,0,122320,0,0,0,78159,0,0,0
91,92000,0.642968,0.87782,9.68182,0,0,0,0,158084,0,0,0,120911,0,0,0,78037,0,0,0
92,93000,0.645458,0.879153,9.59687,0,0,0,0,157508,0,0,0,119680,0,0,0,77354,0,0,0
