erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0.225028,0.54127,61.4222,0,0,0,0,6600,9076,114554,977,173975,148524,25526,0,43813,133942,117845,141
1,2000,0.336513,0.679611,39.3518,0,0,0,0,7714,13807,81630,2400,140636,126664,27303,0,33602,117302,112251,179
2,3000,0.421786,0.743806,29.8337,0,0,0,0,8761,11995,64261,5510,120506,103481,31830,0,30062,110459,90558,792
3,4000,0.484161,0.783494,24.3078,0,0,0,0,9456,10711,55030,7189,107678,86880,31066,0,28432,105606,72380,1412
4,5000,0.533706,0.81168,20.5879,0,0,0,0,9681,10878,48572,6715,99165,74827,27830,0,27525,100143,59517,1441
5,6000,0.574651,0.833024,17.8431,0,0,0,0,9504,11351,44709,5511,92228,65822,24432,0,27155,93260,50102,1275
6,7000,0.608827,0.84996,15.7443,0,0,0,0,9308,11794,40042,4652,86014,58774,21345,0,27904,86774,43306,1260
7,8000,0.63754,0.862937,14.1369,0,0,0,0,9062,11584,35708,4163,81293,53475,18854,0,28446,81028,37360,1487
8,9000,0.661493,0.874737,12.7762,0,0,0,0,8804,11281,31981,3855,76563,49068,16921,0,29105,76180,33213,1536
9,10000,0.682318,0.884053,11.6673,0,0,0,0,8732,10837,28815,3589,72779,45513,15211,0,29583,71479,29602,1542
10,11000,0.699235,0.892554,10.7588,0,0,0,0,8624,10884,26747,3337,69225,42247,14048,0,29916,67743,26320,1674
11,12000,0.715231,0.898807,9.99245,0,0,0,0,8662,10452,24200,3183,65723,40272,12673,0,30387,63670,24005,1542
12,13000,0.728382,0.90503,9.32485,0,0,0,0,8488,10511,22457,3090,62695,37508,11851,0,30632,61211,21604,1571
13,14000,0.741031,0.910507,8.7365,0,0,0,0,8219,10313,21146,2891,59780,35036,10956,0,30927,58127,20024,1550
14,15000,0.751864,0.91534,8.20628,0,0,0,0,8624,9889,19855,2892,56885,33311,9773,0,30982,56232,18427,1266
15,16000,0.761679,0.919364,7.75717,0,0,0,0,8472,9784,18430,2733,54135,31796,9253,0,31406,54187,16887,1238
16,17000,0.771038,0.923474,7.3463,0,0,0,0,8146,9395,17453,2646,52121,29975,8712,0,31440,52222,15661,1191
17,18000,0.778983,0.926749,6.98318,0,0,0,0,8149,8941,16611,2583,50034,28392,8200,0,31807,50956,14295,1049
18,19000,0.786445,0.929948,6.67199,0,0,0,0,8325,8805,15985,2484,47811,27178,7648,0,31703,49071,13630,915
19,20000,0.793523,0.932795,6.36854,0,0,0,0,8456,8463,14981,2302,45743,26054,7186,0,32154,47749,12557,832
20,21000,0.800186,0.935514,6.07593,0,0,0,0,8456,7971,14540,2307,43889,25196,6874,0,31884,46120,11898,679
21,22000,0.806231,0.937574,5.85236,0,0,0,0,8110,8125,13739,2308,42550,24132,6546,0,31760,44845,11041,613
22,23000,0.812025,0.940175,5.5847,0,0,0,0,8391,7369,13277,2119,41161,23020,6209,0,31153,44476,10300,500
23,24000,0.816905,0.942168,5.39395,0,0,0,0,8286,7717,12839,1976,39748,22212,6024,0,31136,43016,9659,482
24,25000,0.821869,0.943697,5.21017,0,0,0,0,8451,7321,12216,1957,38580,21550,5467,0,31081,41925,9159,424
25,26000,0.826375,0.945975,5.02069,0,0,0,0,8758,7353,11967,1908,37082,20740,5151,0,30765,40742,8769,390
26,27000,0.830711,0.947621,4.85919,0,0,0,0,8632,7442,11575,1761,35804,20227,4967,0,30555,39748,8234,344
27,28000,0.834933,0.948427,4.71379,0,0,0,0,8754,7540,10946,1571,34690,19862,4833,0,30477,37966,8135,293
28,29000,0.838434,0.949863,4.58602,0,0,0,0,8978,7621,10755,1539,33554,18865,4896,0,30131,37495,7433,299
29,30000,0.842389,0.950995,4.44159,0,0,0,0,9132,7570,10264,1451,32683,18786,4282,0,29688,36362,7150,243
30,31000,0.846222,0.952666,4.29588,0,0,0,0,8894,7731,10038,1215,31460,18187,4347,0,29292,35706,6726,182
31,32000,0.849224,0.953934,4.18938,0,0,0,0,9237,7787,9408,1151,31053,17509,4151,0,29041,34700,6549,190
32,33000,0.852549,0.955105,4.06075,0,0,0,0,9086,8096,8954,1030,30062,17327,3826,0,28605,33920,6360,185
33,34000,0.855926,0.956214,3.94694,0,0,0,0,9339,7887,8552,979,29151,17008,3861,0,28132,33082,5943,140
34,35000,0.858691,0.957208,3.85582,0,0,0,0,9428,8234,8559,864,28201,16301,3534,0,27775,32358,5872,183
35,36000,0.861778,0.958268,3.75554,0,0,0,0,9252,8091,8223,872,27814,15974,3562,0,27430,31337,5510,157
36,37000,0.864693,0.959313,3.65896,0,0,0,0,9546,7740,7801,792,27052,15705,3422,0,26670,31050,5403,126
37,38000,0.867098,0.960387,3.56026,0,0,0,0,9598,7833,7977,629,26819,15339,3245,0,26043,30140,5174,105
38,39000,0.869881,0.960927,3.4878,0,0,0,0,9277,7845,7687,684,26083,14881,3336,0,25839,29246,5127,114
39,40000,0.87287,0.962256,3.38042,0,0,0,0,9383,7757,7222,639,25163,14656,3123,0,25708,28264,5098,117
40,41000,0.875077,0.962874,3.31574,0,0,0,0,9698,7572,7243,562,24519,14410,2979,0,24932,27989,4887,132
41,42000,0.877279,0.963396,3.25448,0,0,0,0,9428,7501,6989,506,24511,13967,2916,0,24767,27328,4704,104
42,43000,0.879731,0.964346,3.17433,0,0,0,0,9563,7603,6698,379,23464,13645,2848,0,24215,27104,4663,87
43,44000,0.881839,0.964728,3.12239,0,0,0,0,9599,7465,6653,438,23199,13639,2771,0,23839,25931,4534,93
44,45000,0.884188,0.965548,3.06173,0,0,0,0,9551,7417,6248,498,22496,13274,2642,0,23249,25959,4392,86
45,46000,0.886173,0.966318,2.99479,0,0,0,0,9497,7082,6368,457,22160,13057,2711,0,23016,25081,4301,97
46,47000,0.888223,0.966514,2.94473,0,0,0,0,9488,7259,6260,338,21811,12742,2625,0,22414,24635,4129,76
47,48000,0.890344,0.967339,2.88093,0,0,0,0,9389,6985,6021,326,21204,12361,2639,0,22223,24214,4224,70
