erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0,0,98.2791,0,0,0,0,492681,0,0,0,499821,0,0,0,7499,0,0,0
1,2000,0.00740299,0.023125,94.8856,0,0,0,0,450909,0,0,0,512358,0,0,0,29331,0,0,0
2,3000,0.039601,0.121422,82.3061,0,0,0,0,418146,0,0,0,497876,0,0,0,44378,0,0,0
3,4000,0.0746469,0.222159,71.0259,0,0,0,0,395840,0,0,0,482508,0,0,0,47006,0,0,0
4,5000,0.1049,0.296627,62.7122,0,0,0,0,380089,0,0,0,470057,0,0,0,44955,0,0,0
5,6000,0.129201,0.351217,56.6776,0,0,0,0,363428,0,0,0,457602,0,0,0,49770,0,0,0
6,7000,0.149018,0.392922,52.1301,0,0,0,0,347174,0,0,0,445741,0,0,0,58068,0,0,0
7,8000,0.166958,0.428606,48.3719,0,0,0,0,333958,0,0,0,432384,0,0,0,66701,0,0,0
8,9000,0.185245,0.461206,45.0976,0,0,0,0,323306,0,0,0,418186,0,0,0,73264,0,0,0
9,10000,0.203293,0.491313,42.0799,0,0,0,0,313139,0,0,0,405518,0,0,0,78051,0,0,0
10,11000,0.219119,0.517654,39.5942,0,0,0,0,303431,0,0,0,393550,0,0,0,83901,0,0,0
11,12000,0.23382,0.540553,37.3994,0,0,0,0,293540,0,0,0,384378,0,0,0,88263,0,0,0
12,13000,0.247802,0.562022,35.3962,0,0,0,0,284813,0,0,0,375403,0,0,0,91983,0,0,0
13,14000,0.259906,0.579705,33.7818,0,0,0,0,279034,0,0,0,367456,0,0,0,93605,0,0,0
14,15000,0.273445,0.595891,32.2225,0,0,0,0,272944,0,0,0,360707,0,0,0,92905,0,0,0
15,16000,0.286607,0.609538,30.9133,0,0,0,0,267014,0,0,0,355329,0,0,0,91051,0,0,0
16,17000,0.300956,0.622414,29.6297,0,0,0,0,259351,0,0,0,349592,0,0,0,90102,0,0,0
17,18000,0.317349,0.633561,28.3735,0,0,0,0,251227,0,0,0,342946,0,0,0,88479,0,0,0
18,19000,0.332762,0.643596,27.2402,0,0,0,0,244135,0,0,0,336798,0,0,0,86306,0,0,0
19,20000,0.347604,0.652286,26.2159,0,0,0,0,236831,0,0,0,329423,0,0,0,86143,0,0,0
20,21000,0.360385,0.659394,25.3658,0,0,0,0,231195,0,0,0,323520,0,0,0,84901,0,0,0
21,22000,0.37308,0.666924,24.5084,0,0,0,0,225002,0,0,0,317761,0,0,0,84158,0,0,0
22,23000,0.385146,0.674863,23.6809,0,0,0,0,219115,0,0,0,312265,0,0,0,83475,0,0,0
23,24000,0.396,0.682105,22.9222,0,0,0,0,214917,0,0,0,306502,0,0,0,82582,0,0,0
24,25000,0.406896,0.688439,22.2193,0,0,0,0,209965,0,0,0,301403,0,0,0,81737,0,0,0
