erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0,0,50.0757,0,0,0,0,509478,0,0,0,6198,0,0,0,484325,0,0,0
1,2000,0,0,50.0889,56,46,43,0,507879,0,0,0,32959,0,0,0,459018,0,0,0
2,3000,9.99999e-07,3.13356e-06,51.3424,5167,9265,2953,0,489637,0,0,0,52980,0,0,0,439998,0,0,0
3,4000,0.00626399,0.0196286,51.0442,10626,27076,2529,0,468166,0,0,0,64519,0,0,0,420821,0,0,0
4,5000,0.020644,0.0646724,48.742,14612,36982,1976,0,447172,0,0,0,74524,0,0,0,404091,0,0,0
5,6000,0.038867,0.12121,45.6908,16846,40088,2714,0,431457,0,0,0,81136,0,0,0,388893,0,0,0
6,7000,0.0551389,0.169581,43.3026,18025,44272,3999,0,419307,0,0,0,84147,0,0,0,375112,0,0,0
7,8000,0.0723259,0.217918,40.8775,17748,46365,4533,0,410069,0,0,0,85327,0,0,0,363633,0,0,0
8,9000,0.0888599,0.262008,38.5565,17627,47962,4694,0,400403,0,0,0,86662,0,0,0,353793,0,0,0
9,10000,0.104211,0.302463,36.3317,17699,49152,4276,0,392269,0,0,0,86923,0,0,0,345471,0,0,0
10,11000,0.118526,0.338472,34.2953,18004,50702,3866,0,383768,0,0,0,88067,0,0,0,337068,0,0,0
11,12000,0.130569,0.368951,32.6448,18690,51689,3899,0,376441,0,0,0,89879,0,0,0,328834,0,0,0
12,13000,0.142087,0.39736,31.1697,19654,51890,4031,0,369045,0,0,0,92559,0,0,0,320735,0,0,0
13,14000,0.153331,0.423214,29.8212,20709,52036,4645,0,360985,0,0,0,95506,0,0,0,312789,0,0,0
14,15000,0.163607,0.445973,28.6057,22535,51616,5083,0,353096,0,0,0,97972,0,0,0,306092,0,0,0
15,16000,0.172181,0.464146,27.6291,24725,50619,5430,0,345958,0,0,0,101573,0,0,0,299515,0,0,0
16,17000,0.182025,0.484612,26.5298,26840,48715,5990,0,338939,0,0,0,103990,0,0,0,293502,0,0,0
17,18000,0.190735,0.50262,25.5784,28700,47630,6764,0,331707,0,0,0,107579,0,0,0,286886,0,0,0
18,19000,0.198288,0.51728,24.8104,30434,47310,7922,0,325530,0,0,0,110702,0,0,0,279815,0,0,0
19,20000,0.206201,0.532905,24.0194,32054,46387,8348,0,319025,0,0,0,114362,0,0,0,273624,0,0,0
20,21000,0.214222,0.547331,23.2794,33206,45779,9585,0,312886,0,0,0,117417,0,0,0,266906,0,0,0
21,22000,0.221739,0.561443,22.5638,34514,45942,10307,0,307178,0,0,0,119907,0,0,0,260414,0,0,0
22,23000,0.22884,0.574026,21.9398,34685,45254,11660,0,302860,0,0,0,122073,0,0,0,254629,0,0,0
23,24000,0.235252,0.585462,21.3876,34955,46386,12807,0,298553,0,0,0,123616,0,0,0,248432,0,0,0
24,25000,0.241363,0.595837,20.86,35529,47051,14453,0,293299,0,0,0,124939,0,0,0,243367,0,0,0
25,26000,0.248611,0.606382,20.2965,36015,46778,15247,0,289242,0,0,0,125880,0,0,0,238228,0,0,0
26,27000,0.25415,0.615196,19.8497,36635,48318,16909,0,283998,0,0,0,127539,0,0,0,232452,0,0,0
27,28000,0.260657,0.623704,19.4079,36106,48221,18646,0,282055,0,0,0,126428,0,0,0,227888,0,0,0
28,29000,0.267003,0.632347,18.9547,35981,49459,19418,0,277543,0,0,0,126866,0,0,0,223731,0,0,0
29,30000,0.272122,0.639034,18.6114,36102,50285,21169,0,273470,0,0,0,126611,0,0,0,220242,0,0,0
30,31000,0.278717,0.646433,18.197,36269,50809,22509,0,268858,0,0,0,126369,0,0,0,216470,0,0,0
31,32000,0.285132,0.655322,17.7886,35131,51543,24540,0,265814,0,0,0,125061,0,0,0,212780,0,0,0
32,33000,0.290374,0.662543,17.4796,34846,52684,26799,0,262053,0,0,0,124657,0,0,0,208588,0,0,0
33,34000,0.29576,0.670026,17.1789,34010,53054,28481,0,258424,0,0,0,124778,0,0,0,205494,0,0,0
34,35000,0.300568,0.674331,16.914,34281,53661,30904,0,254107,0,0,0,124926,0,0,0,201554,0,0,0
35,36000,0.306811,0.681982,16.5506,33125,54118,32365,0,251173,0,0,0,124303,0,0,0,198106,0,0,0
36,37000,0.312422,0.687478,16.2735,33190,54030,33918,0,247837,0,0,0,123691,0,0,0,194913,0,0,0
37,38000,0.316786,0.692023,16.0201,33574,54959,34698,0,244142,0,0,0,124704,0,0,0,191138,0,0,0
38,39000,0.323145,0.697528,15.7098,33726,54641,35513,0,240634,0,0,0,125728,0,0,0,186614,0,0,0
39,40000,0.327991,0.701539,15.4955,33683,54688,36352,0,238179,0,0,0,125958,0,0,0,183150,0,0,0
40,41000,0.333364,0.707983,15.2182,33621,55425,36959,0,234387,0,0,0,126065,0,0,0,180180,0,0,0
41,42000,0.337324,0.710988,15.0359,33802,54704,39154,0,233341,0,0,0,126089,0,0,0,175587,0,0,0
42,43000,0.343977,0.715507,14.7444,33791,54550,38952,0,229215,0,0,0,126577,0,0,0,172939,0,0,0
43,44000,0.348066,0.718929,14.5708,32901,56639,39643,0,226944,0,0,0,126263,0,0,0,169545,0,0,0
44,45000,0.353132,0.723621,14.3436,32951,56754,39886,0,224494,0,0,0,126980,0,0,0,165804,0,0,0
45,46000,0.358749,0.726354,14.154,33338,56089,40619,0,221439,0,0,0,126905,0,0,0,162862,0,0,0
46,47000,0.363191,0.730336,13.9479,32632,56212,40898,0,220880,0,0,0,126454,0,0,0,159734,0,0,0
47,48000,0.36784,0.734007,13.7723,32829,56226,41099,0,218462,0,0,0,127422,0,0,0,156123,0,0,0
48,49000,0.372606,0.736313,13.5961,32613,57911,40428,0,215335,0,0,0,127597,0,0,0,153511,0,0,0
49,50000,0.377893,0.740117,13.3901,32556,56378,41247,0,214284,0,0,0,126681,0,0,0,150962,0,0,0
50,51000,0.382753,0.745224,13.1841,31613,58405,40488,0,211960,0,0,0,126731,0,0,0,148051,0,0,0
51,52000,0.386643,0.748618,13.0315,31258,57133,42524,0,209839,0,0,0,126838,0,0,0,145766,0,0,0
52,53000,0.39185,0.750393,12.8611,31627,59113,40443,0,207470,0,0,0,126155,0,0,0,143343,0,0,0
53,54000,0.39563,0.752756,12.7209,30876,57201,42012,0,206354,0,0,0,126874,0,0,0,141054,0,0,0
54,55000,0.400909,0.754839,12.5416,30580,59106,40543,0,203989,0,0,0,125637,0,0,0,139237,0,0,0
55,56000,0.404801,0.758853,12.3899,30851,59404,40156,0,202557,0,0,0,125932,0,0,0,136300,0,0,0
56,57000,0.409501,0.760495,12.2538,30156,60933,38873,0,200417,0,0,0,125689,0,0,0,134432,0,0,0
57,58000,0.413949,0.763828,12.0912,30739,60640,38133,0,198842,0,0,0,125403,0,0,0,132295,0,0,0
58,59000,0.418515,0.766151,11.9336,30257,61328,37736,0,198097,0,0,0,124154,0,0,0,129914,0,0,0
59,60000,0.422374,0.7693,11.8052,29542,60207,38747,0,195824,0,0,0,125221,0,0,0,128086,0,0,0
60,61000,0.425682,0.770746,11.6864,29483,62209,37019,0,194924,0,0,0,124462,0,0,0,126222,0,0,0
61,62000,0.430251,0.774024,11.5367,29351,62374,36482,0,193336,0,0,0,123326,0,0,0,124881,0,0,0
62,63000,0.433936,0.77523,11.4294,28772,63271,36363,0,192398,0,0,0,122032,0,0,0,123229,0,0,0
