erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0.216422,0.522778,38.0096,1619,2575,1149,3785,6644,9464,113726,1228,56964,148125,120068,0,162898,131432,23585,317
1,2000,0.322037,0.658028,25.0847,3450,2326,1832,7874,7726,14153,82710,4705,48611,120708,86776,0,125633,119082,51971,407
2,3000,0.40497,0.723456,19.1629,4104,2130,1771,9629,8829,11870,63146,9084,44465,104411,60474,0,106029,106131,61366,1592
3,4000,0.465382,0.764032,15.6569,4054,2293,1767,10788,9809,11090,53322,8767,40752,92756,44934,0,94651,97959,58358,3319
4,5000,0.514557,0.792893,13.3102,4155,1960,2430,10757,10025,10735,48688,7014,38156,82155,35628,0,86713,91964,51947,3116
5,6000,0.55519,0.815442,11.5922,3940,1829,2415,10571,9744,10994,45115,5281,37452,72879,29419,0,80430,86074,46245,2422
6,7000,0.589129,0.832847,10.3355,3574,1685,2521,11298,9535,11103,40282,4512,36554,65866,24808,0,76237,80310,40721,1865
7,8000,0.617841,0.848019,9.28478,3353,1554,2414,11225,8987,11056,36826,3649,36244,59696,21268,0,72267,75848,36361,1411
8,9000,0.643048,0.860942,8.40592,3067,1456,2434,10621,8854,10986,32787,3286,35865,54290,19191,0,68732,71434,32688,1261
9,10000,0.664292,0.871238,7.7052,2974,1338,2283,10414,8674,10614,30047,3009,35041,50146,17107,0,66314,67392,29270,1085
10,11000,0.682937,0.880669,7.07338,2712,1360,2490,9744,8952,10492,27073,2853,34290,46383,15491,0,63266,64349,26729,879
11,12000,0.698423,0.887424,6.60676,2441,1380,2443,9573,8827,10277,25185,2737,34066,43213,13952,0,61190,61109,24359,825
12,13000,0.712776,0.893807,6.17416,2319,1381,2832,8940,8657,10132,23096,2846,33251,40495,12782,0,59198,58622,21948,725
13,14000,0.725381,0.900287,5.78331,2239,1297,2640,8952,8677,10169,21349,2697,32472,37717,11930,0,57192,56430,20084,774
14,15000,0.736868,0.90681,5.42542,2024,1326,2818,8905,8354,10029,20012,2714,32019,35740,11241,0,54569,54271,18530,580
15,16000,0.747156,0.910715,5.14847,1863,1342,2797,8547,8390,9671,18600,2722,31733,33860,10195,0,53377,52290,16894,563
16,17000,0.756487,0.913876,4.90131,1876,1549,2694,8276,8219,9535,17646,2675,31836,31640,9438,0,51565,50763,15162,639
17,18000,0.764892,0.918117,4.65209,1771,1491,2668,8302,8369,8987,16884,2571,31050,30853,8793,0,49906,48883,14160,420
18,19000,0.772873,0.921892,4.42538,1598,1585,2544,8121,8608,8515,16247,2436,30738,29062,8343,0,48303,47544,13013,470
19,20000,0.780093,0.925402,4.21602,1582,1765,2741,7722,8470,8573,15035,2392,29976,28733,7943,0,46907,45627,11981,460
20,21000,0.786847,0.928349,4.0438,1450,1617,2566,7651,8265,8013,14607,2320,29740,27119,7189,0,45750,44614,11893,359
21,22000,0.793448,0.93047,3.88273,1589,1728,2476,7405,8476,7565,14106,2270,29412,26271,6867,0,44023,43250,10744,370
