erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
0,1000,0,0,57.2331,261496,0,0,0,238677,0,0,0,110,0,0,0,499718,0,0,0
1,2000,0,0,57.2348,261496,17,0,0,224606,0,0,0,27245,0,0,0,486637,0,0,0
2,3000,0.002265,0.00709006,57.1771,261156,5799,0,0,211658,0,0,0,46042,0,0,0,473081,0,0,0
3,4000,0.016629,0.0518469,53.3135,258021,7032,0,0,203728,0,0,0,56555,0,0,0,458036,0,0,0
4,5000,0.036007,0.110721,48.9531,250589,7539,0,0,202080,0,0,0,62094,0,0,0,441692,0,0,0
5,6000,0.0556619,0.169182,44.9225,243394,7076,0,0,198977,0,0,0,72580,0,0,0,422312,0,0,0
6,7000,0.0745349,0.22285,41.3844,238830,7054,0,0,193644,0,0,0,82533,0,0,0,403405,0,0,0
7,8000,0.0909369,0.264153,38.6476,235388,6407,0,0,188098,0,0,0,90534,0,0,0,388637,0,0,0
8,9000,0.108018,0.303507,36.0667,230499,5763,0,0,183636,0,0,0,98045,0,0,0,374040,0,0,0
9,10000,0.122752,0.336073,33.9345,225994,5496,0,0,180732,0,0,0,102642,0,0,0,362385,0,0,0
10,11000,0.135066,0.362911,32.2397,221695,5403,0,0,179182,0,0,0,107051,0,0,0,351604,0,0,0
