erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0651329,0,1201,78488.9,1000001,-32.3819,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
2,2000,0,0,0.12686,0,1201,125560,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
3,3000,0,0,0.183081,0,1201,176918,1000001,-25.3906,-23.9299,-99,-99,999995,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999995,6,0,0
4,4000,0,0,0.242724,0,1201,239264,1000001,-25.0158,-23.3996,-99,-99,999015,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999015,986,0,0
5,5000,0.001971,0.00617625,0.302292,571,1263,295876,998030,-25.0158,-22.974,-99,-99,996220,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996220,1810,0,0
6,6000,0.018181,0.0569713,0.345033,3328,1325,356572,981820,-25.0158,-22.974,-99,-99,979590,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979590,2230,0,0
7,7000,0.037321,0.116948,0.37652,4815,1325,421201,962680,-25.0158,-22.6229,-99,-99,960664,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960664,2016,0,0
8,8000,0.0526789,0.165073,0.407492,5435,1325,463155,947322,-25.0158,-22.6229,-99,-99,944645,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944645,2677,0,0
9,9000,0.0662129,0.207477,0.438704,5922,1325,531632,933788,-25.0158,-22.5434,-99,-99,930548,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930548,3240,0,0
10,10000,0.0781399,0.244845,0.463638,6342,1325,566914,921861,-25.0158,-22.6229,-99,-99,918541,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918541,3320,0,0
11,11000,0.0881219,0.276119,0.482301,6882,1325,623820,911879,-25.0158,-22.5434,-99,-99,908312,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908312,3567,0,0
12,12000,0.0972929,0.304739,0.504693,6415,1388,662526,902708,-25.0158,-22.6229,-99,-99,899319,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899319,3389,0,0
13,13000,0.104898,0.327675,0.527625,5577,1388,709196,895103,-25.0158,-22.6229,-99,-99,891124,3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891124,3979,0,0
14,14000,0.113138,0.35048,0.540905,6127,1388,747105,886863,-25.0158,-22.6229,-99,-99,882645,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882645,4218,0,0
15,15000,0.122,0.375089,0.557716,6372,1388,833924,878001,-25.0158,-22.6229,-99,-99,873712,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873712,4289,0,0
16,16000,0.13005,0.396038,0.573721,6116,1388,838027,869951,-25.0158,-22.4622,-99,-99,865570,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865570,4381,0,0
17,17000,0.139407,0.42021,0.584435,5938,1388,897677,860594,-25.0158,-22.4622,-99,-99,856017,4577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856017,4577,0,0
18,18000,0.146688,0.437524,0.597757,6290,1388,930089,853313,-25.0158,-22.4622,-99,-99,848256,5057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848256,5057,0,0
19,19000,0.154819,0.456271,0.611121,6998,1388,950431,845182,-25.0158,-22.6229,-99,-99,839889,5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839889,5293,0,0
20,20000,0.162242,0.472753,0.621279,7626,1388,1.01633e+06,837759,-25.0158,-22.4622,-99,-99,831614,6145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831614,6145,0,0
21,21000,0.169177,0.487623,0.636769,7888,1388,1.05603e+06,830824,-25.0158,-22.4622,-99,-99,824367,6457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824367,6457,0,0
22,22000,0.177739,0.504887,0.646337,7766,1388,1.03619e+06,822262,-25.0158,-22.4622,-99,-99,814716,7546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814716,7546,0,0
23,23000,0.184951,0.518918,0.654003,8479,1388,1.08807e+06,815050,-25.01,-22.6229,-99,-99,807203,7847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807203,7847,0,0
24,24000,0.192763,0.532779,0.663098,8573,1388,1.13401e+06,807238,-25.0158,-22.4622,-99,-99,798799,8439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798799,8439,0,0
25,25000,0.200912,0.547718,0.667857,9128,1388,1.12518e+06,799089,-25.0158,-22.6229,-99,-99,790405,8684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790405,8684,0,0
26,26000,0.208116,0.559434,0.679444,9235,1388,1.18542e+06,791885,-25.0158,-22.6229,-99,-99,782771,9114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782771,9114,0,0
27,27000,0.215273,0.571243,0.682915,8903,1388,1.21097e+06,784728,-25.0158,-22.6229,-99,-99,774943,9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774943,9785,0,0
28,28000,0.222908,0.584432,0.690615,8991,1388,1.21689e+06,777093,-25.0158,-22.583,-99,-99,767550,9543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767550,9543,0,0
29,29000,0.229506,0.594875,0.700457,8406,1388,1.34458e+06,770495,-25.0158,-22.6229,-99,-99,760532,9963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760532,9963,0,0
30,30000,0.235777,0.605878,0.703588,8274,1388,1.32176e+06,764224,-25.0158,-22.583,-99,-99,754089,10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754089,10135,0,0
31,31000,0.24292,0.616964,0.7074,8345,1388,1.29943e+06,757081,-25.0158,-22.6262,-99,-99,747223,9858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747223,9858,0,0
32,32000,0.248131,0.625061,0.713306,7710,1388,1.3061e+06,751870,-25.0158,-22.583,-99,-99,742070,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742070,9800,0,0
33,33000,0.254426,0.63426,0.720008,6819,1388,1.36256e+06,745575,-25.0158,-22.583,-99,-99,735288,10287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735288,10287,0,0
34,34000,0.259835,0.642188,0.727367,7296,1388,1.36463e+06,740166,-25.0158,-22.6229,-99,-99,729610,10556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729610,10556,0,0
35,35000,0.26463,0.649254,0.731196,6779,1388,1.40589e+06,735371,-25.0158,-22.6229,-99,-99,724821,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724821,10550,0,0
36,36000,0.27035,0.657984,0.736462,5986,1463,1.41272e+06,729651,-25.0158,-22.6229,-99,-99,719112,10539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719112,10539,0,0
37,37000,0.275682,0.66414,0.741902,5772,1463,1.45689e+06,724319,-25.0158,-22.6229,-99,-99,713543,10776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713543,10776,0,0
38,38000,0.281899,0.673239,0.743646,5952,1463,1.47576e+06,718102,-25.0158,-22.583,-99,-99,707149,10953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707149,10953,0,0
39,39000,0.286985,0.677897,0.753314,5761,1463,1.50509e+06,713016,-25.0158,-22.583,-99,-99,701983,11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701983,11033,0,0
40,40000,0.292449,0.685614,0.756844,4975,1463,1.52887e+06,707552,-25.0158,-22.583,-99,-99,696837,10715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696837,10715,0,0
41,41000,0.298024,0.691783,0.758538,4905,1463,1.53572e+06,701977,-25.0158,-22.501,-99,-99,691370,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691370,10607,0,0
42,42000,0.301731,0.695409,0.763779,4632,1463,1.5712e+06,698270,-25.0158,-22.4622,-99,-99,688198,10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688198,10072,0,0
