erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.126878,0,9700,82151.3,1000001,-28.4157,-24.893,-22.348,-99,345590,412465,241946,0,0,0,0,0,0,0,0,0,0,0,0,0,345590,412465,241946,0
2,2000,0.000164,0.000513904,0.249811,57,9700,138596,999837,-25.4047,-21.0757,-18.5776,-14.3597,345862,414569,237226,2180,0,0,0,0,0,0,0,0,0,0,0,0,345862,414569,237226,2180
3,3000,0.027327,0.0856066,0.307337,4699,9700,194302,972674,-25.4047,-21.0757,-18.5326,-14.3597,345167,408007,219055,445,0,0,0,0,0,0,0,0,0,0,0,0,345167,408007,219055,445
4,4000,0.0522339,0.16324,0.358455,7568,10000,246023,947767,-25.4047,-21.0757,-18.5326,-14.3597,342256,397593,207585,333,0,0,0,0,0,0,0,0,0,0,0,0,342256,397593,207585,333
5,5000,0.0754619,0.234813,0.393961,9928,10000,291247,924539,-25.4047,-21.0757,-18.5326,-14.3597,338191,384858,201182,308,0,0,0,0,0,0,0,0,0,0,0,0,338191,384858,201182,308
6,6000,0.0925719,0.285977,0.423295,10840,10000,327318,907429,-25.4047,-21.0757,-18.5326,-14.3597,334538,375239,197225,427,0,0,0,0,0,0,0,0,0,0,0,0,334538,375239,197225,427
7,7000,0.10625,0.323725,0.457556,12036,10000,378218,893751,-25.4047,-21.0757,-18.5326,-14.3099,331544,367745,193830,632,0,0,0,0,0,0,0,0,0,0,0,0,331544,367745,193830,632
8,8000,0.117757,0.352629,0.489533,14567,10300,405485,882244,-25.4047,-21.0757,-18.5326,-14.1639,329230,361597,190297,1120,0,0,0,0,0,0,0,0,0,0,0,0,329230,361597,190297,1120
9,9000,0.127929,0.376228,0.525266,18265,10300,456957,872072,-25.3155,-21.0757,-18.5326,-14.1639,326574,356550,186724,2224,0,0,0,0,0,0,0,0,0,0,0,0,326574,356550,186724,2224
10,10000,0.139092,0.399388,0.550296,21852,10300,511981,860909,-25.2275,-21.0757,-18.5326,-14.1639,323815,351111,182995,2988,0,0,0,0,0,0,0,0,0,0,0,0,323815,351111,182995,2988
11,11000,0.150763,0.421977,0.575544,26532,12700,553511,849238,-25.2275,-21.0757,-18.5024,-14.1639,320635,345811,179960,2832,0,0,0,0,0,0,0,0,0,0,0,0,320635,345811,179960,2832
12,12000,0.162322,0.442935,0.596987,33516,12700,615213,837679,-25.2275,-21.0757,-18.5024,-14.1639,317004,340076,177861,2738,0,0,0,0,0,0,0,0,0,0,0,0,317004,340076,177861,2738
13,13000,0.174771,0.466078,0.609719,40753,12700,637045,825230,-25.2275,-21.0757,-18.5024,-14.1639,312731,334361,175538,2600,0,0,0,0,0,0,0,0,0,0,0,0,312731,334361,175538,2600
14,14000,0.186395,0.486868,0.619875,46606,12700,680074,813606,-25.2275,-21.0757,-18.5024,-14.3099,308617,329117,173207,2665,0,0,0,0,0,0,0,0,0,0,0,0,308617,329117,173207,2665
15,15000,0.197602,0.507494,0.63223,51229,12700,708375,802399,-25.2275,-21.0757,-18.5024,-14.2607,304123,324404,171004,2868,0,0,0,0,0,0,0,0,0,0,0,0,304123,324404,171004,2868
16,16000,0.208033,0.525848,0.644773,52711,12700,757589,791968,-25.2275,-21.0757,-18.5024,-14.3597,300668,318622,169197,3481,0,0,0,0,0,0,0,0,0,0,0,0,300668,318622,169197,3481
17,17000,0.217469,0.542598,0.65725,54841,12700,791372,782532,-25.2275,-21.0757,-18.5024,-14.2607,297007,314423,167237,3865,0,0,0,0,0,0,0,0,0,0,0,0,297007,314423,167237,3865
18,18000,0.226325,0.558089,0.664424,55292,12700,847432,773676,-25.2275,-21.0757,-18.5024,-14.3597,293189,310752,165544,4191,0,0,0,0,0,0,0,0,0,0,0,0,293189,310752,165544,4191
