erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0755601,0,771,89432.7,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
2,2000,0,0,0.148022,0,771,148544,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
3,3000,0.000185,0.000579709,0.213205,0,774,212387,999816,-25.2234,-24.8958,-99,-99,999807,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999807,9,0,0
4,4000,0.003505,0.0109719,0.270945,0,774,285539,996496,-25.2052,-99,-99,-99,996496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996496,0,0,0
5,5000,0.017989,0.0562559,0.313128,0,774,336135,982012,-25.2052,-99,-99,-99,982012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982012,0,0,0
6,6000,0.03649,0.11367,0.340942,0,774,407690,963511,-25.2234,-99,-99,-99,963511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963511,0,0,0
7,7000,0.0524629,0.161556,0.373227,0,774,464949,947538,-25.2234,-99,-99,-99,947538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947538,0,0,0
8,8000,0.0677879,0.204076,0.393049,0,774,535269,932213,-25.2234,-99,-99,-99,932213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932213,0,0,0
9,9000,0.0817759,0.240469,0.414798,0,815,600856,918225,-25.2234,-24.879,-99,-99,918222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918222,3,0,0
10,10000,0.0958809,0.275285,0.434684,0,815,667090,904120,-25.0918,-24.879,-99,-99,904096,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904096,24,0,0
