erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0271914,0,1201,95459.2,1000001,-36.2415,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,568543,0,0,0,431458,0,0,0
2,2000,0,0,0.0529612,0,1201,145611,1000001,-32.3819,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,535026,0,0,0,464975,0,0,0
3,3000,0,0,0.076432,0,1201,198022,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,511853,0,0,0,488148,0,0,0
4,4000,0,0,0.100076,0,1201,254614,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,503841,0,0,0,496160,0,0,0
5,5000,0,0,0.1244,0,1201,298814,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,494618,0,0,0,505383,0,0,0
6,6000,0,0,0.148807,0,1201,362276,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,495184,0,0,0,504817,0,0,0
7,7000,0,0,0.173048,0,1201,425398,1000001,-26.8521,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,498219,0,0,0,501782,0,0,0
8,8000,0,0,0.196515,0,1201,497495,1000001,-25.3906,-23.9299,-99,-99,999984,17,0,0,0,0,0,0,0,0,0,0,501134,17,0,0,498850,0,0,0
9,9000,0,0,0.220836,0,1201,578508,1000001,-25.3906,-23.3996,-99,-99,999841,160,0,0,0,0,0,0,0,0,0,0,503137,140,0,0,496704,20,0,0
10,10000,0,0,0.245915,0,1201,630231,1000001,-25.3906,-23.3996,-99,-99,998800,1201,0,0,0,0,0,0,0,0,0,0,503699,787,0,0,495101,414,0,0
11,11000,4e-06,1.25342e-05,0.270919,0,1201,710789,999997,-25.0158,-23.3996,-99,-99,998713,1284,0,0,0,0,0,0,0,0,0,0,507499,728,0,0,491214,556,0,0
12,12000,0.000519999,0.00162945,0.300212,189,1201,783420,999481,-25.0158,-22.974,-99,-99,997705,1776,0,0,0,0,0,0,0,0,0,0,507701,1085,0,0,490004,691,0,0
13,13000,0.004906,0.0153732,0.321078,1597,1263,852258,995095,-25.0158,-22.974,-99,-99,992802,2293,0,0,0,0,0,0,0,0,0,0,506050,1393,0,0,486752,900,0,0
14,14000,0.0113,0.0354092,0.337819,3369,1263,954028,988701,-25.0158,-22.974,-99,-99,986350,2351,0,0,0,0,0,0,0,0,0,0,503342,1289,0,0,483008,1062,0,0
15,15000,0.019652,0.0615807,0.352108,4237,1263,1.03176e+06,980349,-25.0158,-22.974,-99,-99,978462,1887,0,0,0,0,0,0,0,0,0,0,500605,1007,0,0,477857,880,0,0
16,16000,0.027658,0.086668,0.365139,4863,1325,1.07704e+06,972343,-25.0158,-22.6229,-99,-99,970102,2241,0,0,0,0,0,0,0,0,0,0,494286,1311,0,0,475816,930,0,0
17,17000,0.035053,0.109841,0.379161,5484,1325,1.14525e+06,964948,-25.0158,-22.6229,-99,-99,962582,2366,0,0,0,0,0,0,0,0,0,0,490359,1537,0,0,472223,829,0,0
18,18000,0.041944,0.131434,0.392465,5747,1325,1.21373e+06,958057,-25.0158,-22.6229,-99,-99,955501,2556,0,0,0,0,0,0,0,0,0,0,488924,1576,0,0,466577,980,0,0
19,19000,0.048058,0.150593,0.404279,6161,1325,1.27228e+06,951943,-25.0158,-22.6229,-99,-99,949164,2779,0,0,0,0,0,0,0,0,0,0,487737,1706,0,0,461427,1073,0,0
20,20000,0.0535559,0.167821,0.415912,6251,1325,1.29783e+06,946445,-25.0158,-22.6229,-99,-99,943498,2947,0,0,0,0,0,0,0,0,0,0,487193,1865,0,0,456305,1082,0,0
21,21000,0.0587889,0.184219,0.426668,6737,1325,1.33791e+06,941212,-25.0158,-22.6229,-99,-99,938132,3080,0,0,0,0,0,0,0,0,0,0,487259,1882,0,0,450873,1198,0,0
22,22000,0.0639879,0.20051,0.438433,6696,1325,1.44785e+06,936013,-25.0158,-22.6229,-99,-99,932591,3422,0,0,0,0,0,0,0,0,0,0,486824,2031,0,0,445767,1391,0,0
23,23000,0.0694019,0.217475,0.450003,6879,1325,1.5199e+06,930599,-25.0158,-22.6229,-99,-99,927357,3242,0,0,0,0,0,0,0,0,0,0,486881,1920,0,0,440476,1322,0,0
24,24000,0.0741569,0.232375,0.461092,7567,1325,1.62193e+06,925844,-25.0158,-22.6229,-99,-99,922233,3611,0,0,0,0,0,0,0,0,0,0,485132,2225,0,0,437101,1386,0,0
25,25000,0.0787679,0.246819,0.467611,7933,1325,1.61899e+06,921233,-25.0158,-22.6229,-99,-99,917604,3629,0,0,0,0,0,0,0,0,0,0,483464,2229,0,0,434140,1400,0,0
26,26000,0.0829559,0.259923,0.478284,8133,1325,1.63079e+06,917045,-25.0158,-22.5434,-99,-99,913116,3929,0,0,0,0,0,0,0,0,0,0,482641,2331,0,0,430475,1598,0,0
27,27000,0.0868829,0.27222,0.486807,7545,1325,1.69954e+06,913118,-25.0158,-22.6229,-99,-99,909187,3931,0,0,0,0,0,0,0,0,0,0,481030,2320,0,0,428157,1611,0,0
28,28000,0.0907079,0.284215,0.49508,7803,1325,1.77306e+06,909293,-25.0158,-22.6229,-99,-99,905650,3643,0,0,0,0,0,0,0,0,0,0,480534,1992,0,0,425116,1651,0,0
29,29000,0.0934839,0.292889,0.506047,7537,1325,1.78111e+06,906517,-25.0158,-22.5434,-99,-99,903081,3436,0,0,0,0,0,0,0,0,0,0,479978,1940,0,0,423103,1496,0,0
30,30000,0.0967949,0.303227,0.515752,7371,1325,1.93659e+06,903206,-25.0158,-22.6229,-99,-99,899761,3445,0,0,0,0,0,0,0,0,0,0,479038,1996,0,0,420723,1449,0,0
31,31000,0.0995379,0.311599,0.525496,7769,1325,1.96443e+06,900463,-25.0158,-22.6229,-99,-99,896794,3669,0,0,0,0,0,0,0,0,0,0,477671,2169,0,0,419123,1500,0,0
32,32000,0.10239,0.320161,0.533703,7512,1325,1.94788e+06,897611,-25.0158,-22.6229,-99,-99,893662,3949,0,0,0,0,0,0,0,0,0,0,476507,2290,0,0,417155,1659,0,0
33,33000,0.105702,0.329338,0.53957,6901,1325,1.96472e+06,894299,-25.0158,-22.6229,-99,-99,890129,4170,0,0,0,0,0,0,0,0,0,0,474370,2574,0,0,415759,1596,0,0
34,34000,0.108899,0.338142,0.545631,7144,1350,2.19823e+06,891102,-25.0158,-22.6229,-99,-99,886947,4155,0,0,0,0,0,0,0,0,0,0,474340,2513,0,0,412607,1642,0,0
35,35000,0.112756,0.349162,0.552954,7121,1350,2.12666e+06,887245,-25.0158,-22.6229,-99,-99,882781,4464,0,0,0,0,0,0,0,0,0,0,469896,2753,0,0,412885,1711,0,0
36,36000,0.115551,0.356534,0.560038,7232,1350,2.27202e+06,884450,-25.0158,-22.6229,-99,-99,879835,4615,0,0,0,0,0,0,0,0,0,0,469364,2762,0,0,410471,1853,0,0
37,37000,0.119528,0.36697,0.564955,7223,1388,2.59075e+06,880473,-25.0158,-22.4622,-99,-99,875975,4498,0,0,0,0,0,0,0,0,0,0,469009,2743,0,0,406966,1755,0,0
38,38000,0.122051,0.373731,0.57138,7119,1388,2.48984e+06,877950,-25.0158,-22.6229,-99,-99,873237,4713,0,0,0,0,0,0,0,0,0,0,467492,2810,0,0,405745,1903,0,0
39,39000,0.126197,0.384529,0.578807,7174,1388,2.34477e+06,873804,-25.0158,-22.4622,-99,-99,869070,4734,0,0,0,0,0,0,0,0,0,0,465813,2852,0,0,403257,1882,0,0
40,40000,0.129048,0.391352,0.582628,7484,1388,2.48099e+06,870953,-25.0158,-22.4622,-99,-99,866063,4890,0,0,0,0,0,0,0,0,0,0,464497,2959,0,0,401566,1931,0,0
41,41000,0.133361,0.402079,0.589026,7772,1388,2.45452e+06,866640,-25.0158,-22.4622,-99,-99,861863,4777,0,0,0,0,0,0,0,0,0,0,462441,2909,0,0,399422,1868,0,0
42,42000,0.136155,0.40996,0.594345,7142,1388,2.40323e+06,863846,-25.0158,-22.4622,-99,-99,858712,5134,0,0,0,0,0,0,0,0,0,0,462382,3058,0,0,396330,2076,0,0
43,43000,0.13903,0.417065,0.600267,7158,1388,2.44539e+06,860971,-25.0158,-22.4622,-99,-99,855779,5192,0,0,0,0,0,0,0,0,0,0,462714,3051,0,0,393065,2141,0,0
