erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0569206,0,9700,104887,1000001,-33.1876,-26.9027,-22.8208,-22.8208,318358,387680,284675,9288,0,0,0,0,0,0,0,0,216704,161840,146258,9288,101654,225840,138417,0
2,2000,0,0,0.108459,0,9700,157138,1000001,-28.9957,-24.893,-22.8208,-22.8208,319637,393309,277810,9245,0,0,0,0,0,0,0,0,207563,149322,133670,9245,112074,243987,144140,0
3,3000,0,0,0.153543,0,9700,215358,1000001,-26.1967,-23.2953,-20.6307,-14.3597,320418,399269,272063,8251,0,0,0,0,0,0,0,0,200524,141652,125655,8251,119894,257617,146408,0
4,4000,0,0,0.205901,0,9700,279834,1000001,-26.1967,-21.672,-18.5776,-14.3597,321120,400990,269456,8435,0,0,0,0,0,0,0,0,192996,138382,121509,7300,128124,262608,147947,1135
5,5000,0.000221,0.000692517,0.257727,82,9700,344901,999780,-25.4047,-21.0757,-18.5776,-14.3597,321745,399634,268009,10392,0,0,0,0,0,0,0,0,188787,140069,125251,9278,132958,259565,142758,1114
6,6000,0.011434,0.0358291,0.28309,3300,9700,417571,988567,-25.4047,-21.0757,-18.5326,-14.3597,322714,394068,260562,11223,0,0,0,0,0,0,0,0,185387,142175,134082,10784,137327,251893,126480,439
7,7000,0.025507,0.0799259,0.303839,4964,9700,469792,974494,-25.4047,-21.0757,-18.5326,-14.3597,323794,387031,251880,11789,0,0,0,0,0,0,0,0,179751,143694,143120,11625,144043,243337,108760,164
8,8000,0.037066,0.116119,0.32585,5580,9700,549030,962935,-25.4047,-21.0757,-18.5326,-14.2121,324116,379145,247809,11865,0,0,0,0,0,0,0,0,173515,143954,152396,11778,150601,235191,95413,87
9,9000,0.04619,0.14461,0.348537,6440,9800,599130,953811,-25.4047,-21.0757,-18.5326,-14.3597,323901,371984,246515,11411,0,0,0,0,0,0,0,0,169013,144120,159694,11288,154888,227864,86821,123
10,10000,0.0555459,0.173788,0.36405,7761,10000,661661,944455,-25.4047,-21.0757,-18.5326,-14.3597,323802,364629,244936,11088,0,0,0,0,0,0,0,0,166414,145145,163917,10951,157388,219484,81019,137
11,11000,0.0648849,0.202788,0.377857,9466,10000,705725,935116,-25.4047,-21.0757,-18.5326,-14.3597,322403,359931,241990,10792,0,0,0,0,0,0,0,0,165075,144645,165209,10653,157328,215286,76781,139
12,12000,0.0738879,0.2306,0.390812,10478,10000,775221,926113,-25.4047,-21.0757,-18.5326,-14.3597,321213,354651,239592,10657,0,0,0,0,0,0,0,0,164892,142381,164522,10547,156321,212270,75070,110
13,13000,0.0817129,0.254371,0.406616,10855,10000,830917,918288,-25.4047,-21.0757,-18.5326,-14.1639,319481,352810,235318,10679,0,0,0,0,0,0,0,0,164143,141162,159082,10546,155338,211648,76236,133
14,14000,0.0890919,0.276398,0.419418,11588,10000,882359,910909,-25.4047,-21.0757,-18.5326,-14.3597,318082,350974,231655,10198,0,0,0,0,0,0,0,0,163120,139783,153409,10077,154962,211191,78246,121
15,15000,0.0950579,0.293611,0.430017,11868,10000,952417,904943,-25.4047,-21.0757,-18.5326,-14.1639,316321,348877,230017,9728,0,0,0,0,0,0,0,0,163147,141398,147784,9532,153174,207479,82233,196
16,16000,0.101147,0.310349,0.447713,12656,10000,984230,898854,-25.4047,-21.0757,-18.5326,-14.1639,314655,346571,228471,9157,0,0,0,0,0,0,0,0,162136,142088,144137,8977,152519,204483,84334,180
17,17000,0.106544,0.324661,0.458399,13386,10000,1.02247e+06,893457,-25.4047,-21.0757,-18.5326,-14.1639,313612,342714,228178,8953,0,0,0,0,0,0,0,0,162510,143089,143924,8739,151102,199625,84254,214
18,18000,0.111676,0.337283,0.47574,14910,10000,1.16399e+06,888325,-25.4047,-21.0757,-18.5326,-14.1639,312725,339415,227303,8882,0,0,0,0,0,0,0,0,163169,144729,144970,8630,149556,194686,82333,252
19,19000,0.11619,0.348633,0.488869,16183,10300,1.18149e+06,883811,-25.4047,-21.0757,-18.5326,-14.1639,312144,335388,227080,9199,0,0,0,0,0,0,0,0,162542,144146,148073,8881,149602,191242,79007,318
20,20000,0.120951,0.359736,0.504058,17410,10300,1.1729e+06,879050,-25.4047,-21.0757,-18.5326,-14.1639,311237,333027,225242,9544,0,0,0,0,0,0,0,0,160969,146405,148259,9121,150268,186622,76983,423
21,21000,0.124702,0.367865,0.518409,19756,10300,1.31703e+06,875299,-25.4047,-21.0757,-18.5326,-14.1639,310422,330537,224047,10293,0,0,0,0,0,0,0,0,161419,145508,149783,9693,149003,185029,74264,600
22,22000,0.129447,0.378476,0.531928,21369,10300,1.3344e+06,870554,-25.3155,-21.0757,-18.5326,-14.1639,309768,327110,222556,11120,0,0,0,0,0,0,0,0,160171,145155,150235,10159,149597,181955,72321,961
23,23000,0.133386,0.38661,0.546975,21767,10300,1.39717e+06,866615,-25.3155,-21.0757,-18.5326,-14.1639,309014,324873,221115,11613,0,0,0,0,0,0,0,0,159339,144057,150142,10367,149675,180816,70973,1246
24,24000,0.138165,0.397248,0.558185,23924,10300,1.37986e+06,861836,-25.2275,-21.0757,-18.5326,-14.1639,307924,321900,220429,11583,0,0,0,0,0,0,0,0,159717,142102,149526,10313,148207,179798,70903,1270
25,25000,0.1425,0.404928,0.568178,27817,10300,1.46496e+06,857501,-25.2275,-21.0757,-18.5024,-14.1639,306937,320706,218319,11539,0,0,0,0,0,0,0,0,160769,141530,146750,10239,146168,179176,71569,1300
26,26000,0.14765,0.414481,0.57901,28707,10300,1.50579e+06,852351,-25.2275,-21.0757,-18.5024,-14.1639,305963,317981,217081,11326,0,0,0,0,0,0,0,0,159414,140554,144431,9960,146549,177427,72650,1366
27,27000,0.151521,0.42172,0.588801,31731,10300,1.44202e+06,848480,-25.2275,-21.0757,-18.5024,-14.1639,304863,315360,217452,10805,0,0,0,0,0,0,0,0,159033,140114,143538,9571,145830,175246,73914,1234
28,28000,0.156526,0.431225,0.596772,35612,10300,1.84936e+06,843475,-25.2275,-21.0757,-18.5024,-14.1639,303169,313103,216395,10808,0,0,0,0,0,0,0,0,158940,140412,141423,9475,144229,172691,74972,1333
29,29000,0.161092,0.439299,0.607742,38606,10300,1.85555e+06,838909,-25.2275,-21.0757,-18.5024,-14.1639,302573,309265,216333,10738,0,0,0,0,0,0,0,0,157532,138325,140902,9487,145041,170940,75431,1251
30,30000,0.166314,0.448634,0.615224,43815,10300,1.67721e+06,833687,-25.2275,-21.0757,-18.5024,-14.3597,300504,308083,214973,10127,0,0,0,0,0,0,0,0,155458,139366,140571,9004,145046,168717,74402,1123
31,31000,0.170939,0.456988,0.619212,46831,10300,1.95745e+06,829062,-25.2275,-21.0757,-18.5024,-14.1639,299339,305411,214058,10254,0,0,0,0,0,0,0,0,154116,138718,140800,9223,145223,166693,73258,1031
32,32000,0.175627,0.465311,0.623385,49124,12700,1.73756e+06,824374,-25.2275,-21.0757,-18.5024,-14.1639,297885,303384,212916,10189,0,0,0,0,0,0,0,0,152937,138853,141119,9082,144948,164531,71797,1107
33,33000,0.180846,0.475351,0.628448,53366,12700,1.9315e+06,819155,-25.2275,-21.0757,-18.5024,-14.1639,295498,301649,211953,10055,0,0,0,0,0,0,0,0,151616,138312,141576,8939,143882,163337,70377,1116
34,34000,0.184832,0.482427,0.635997,57410,12700,1.86138e+06,815169,-25.2275,-21.0757,-18.5024,-14.1639,294236,300086,210667,10180,0,0,0,0,0,0,0,0,150962,138508,141448,9114,143274,161578,69219,1066
35,35000,0.189961,0.491387,0.64151,59576,12700,1.83898e+06,810040,-25.2275,-21.0757,-18.5024,-14.2607,292439,297381,210025,10195,0,0,0,0,0,0,0,0,149410,137958,141367,9166,143029,159423,68658,1029
36,36000,0.194356,0.499075,0.64344,61529,12700,1.81571e+06,805645,-25.2275,-21.0757,-18.5024,-14.1639,290981,295552,208843,10269,0,0,0,0,0,0,0,0,148449,137212,141381,9085,142532,158340,67462,1184
37,37000,0.19882,0.506502,0.651108,63719,12700,2.02414e+06,801181,-25.2275,-21.0757,-18.5024,-14.1639,289759,293772,207202,10448,0,0,0,0,0,0,0,0,147409,137468,139578,9214,142350,156304,67624,1234
38,38000,0.202398,0.51371,0.653866,66976,12700,2.25963e+06,797603,-25.2275,-21.0757,-18.5024,-14.1639,288228,292452,206646,10277,0,0,0,0,0,0,0,0,146102,137132,138655,9083,142126,155320,67991,1194
39,39000,0.207204,0.522215,0.657783,63701,12700,2.14634e+06,792797,-25.2275,-21.0757,-18.5024,-14.3597,286472,290966,204923,10436,0,0,0,0,0,0,0,0,145389,136615,137075,8964,141083,154351,67848,1472
40,40000,0.211057,0.529134,0.663638,63335,12700,2.11442e+06,788944,-25.2275,-21.0757,-18.5024,-14.2607,285037,289442,203847,10618,0,0,0,0,0,0,0,0,143370,136865,135305,9078,141667,152577,68542,1540
41,41000,0.213818,0.533597,0.668276,66938,12700,2.52335e+06,786183,-25.2275,-21.0757,-18.5024,-14.2607,283849,289366,202156,10812,0,0,0,0,0,0,0,0,143059,137210,133354,9220,140790,152156,68802,1592
42,42000,0.218368,0.542297,0.67484,68398,12700,2.19689e+06,781633,-25.2275,-21.0757,-18.5024,-14.3597,282124,287520,201224,10765,0,0,0,0,0,0,0,0,141838,137547,132719,9108,140286,149973,68505,1657
43,43000,0.222098,0.54867,0.678508,68871,12700,2.52142e+06,777903,-25.2275,-21.0757,-18.5024,-14.2607,280712,286482,199872,10837,0,0,0,0,0,0,0,0,140081,137163,132014,9082,140631,149319,67858,1755
44,44000,0.225305,0.554167,0.681822,68051,12700,2.70717e+06,774696,-25.2275,-21.0757,-18.5024,-14.2607,279231,284708,200221,10536,0,0,0,0,0,0,0,0,138344,136961,133488,8858,140887,147747,66733,1678
45,45000,0.227615,0.558027,0.68722,66119,12700,2.65265e+06,772386,-25.2275,-21.0757,-18.5024,-14.3099,278793,284026,198785,10782,0,0,0,0,0,0,0,0,137974,136860,132200,9108,140819,147166,66585,1674
46,46000,0.231608,0.565453,0.690361,70363,12700,2.44789e+06,768393,-25.2275,-21.0757,-18.5024,-14.3099,276811,281581,199628,10373,0,0,0,0,0,0,0,0,135835,136092,133798,8648,140976,145489,65830,1725
47,47000,0.234634,0.570103,0.695164,66571,12700,2.99539e+06,765367,-25.2275,-21.0757,-18.5024,-14.3099,275150,281623,198210,10384,0,0,0,0,0,0,0,0,135910,135298,132876,8736,139240,146325,65334,1648
48,48000,0.238281,0.576638,0.700589,65997,12700,2.76999e+06,761720,-25.2275,-21.0757,-18.5024,-14.1639,273837,280193,197094,10596,0,0,0,0,0,0,0,0,134008,136268,131982,8796,139829,143925,65112,1800
49,49000,0.2407,0.580127,0.705192,66531,12700,2.87302e+06,759301,-25.2275,-21.0757,-18.5024,-14.3099,272163,280448,196041,10649,0,0,0,0,0,0,0,0,132802,135631,131831,8803,139361,144817,64210,1846
50,50000,0.243723,0.584524,0.707804,66636,12700,2.63274e+06,756278,-25.2275,-21.0757,-18.5024,-14.3099,270899,279174,195782,10423,0,0,0,0,0,0,0,0,132832,134918,131470,8628,138067,144256,64312,1795
51,51000,0.246453,0.589568,0.711933,64704,12700,2.5321e+06,753548,-25.2275,-21.0757,-18.5024,-14.3597,269219,279501,193682,11146,0,0,0,0,0,0,0,0,131561,135939,129350,9263,137658,143562,64332,1883
52,52000,0.250002,0.594523,0.712926,62491,12700,2.69257e+06,749999,-25.2275,-21.0757,-18.5024,-14.2607,267537,278390,193106,10966,0,0,0,0,0,0,0,0,130522,134738,128871,8836,137015,143652,64235,2130
53,53000,0.2527,0.599003,0.721004,62801,12700,2.69043e+06,747301,-25.2275,-21.0757,-18.5024,-14.3597,265948,278325,191310,11718,0,0,0,0,0,0,0,0,129875,134863,128560,9488,136073,143462,62750,2230
54,54000,0.25559,0.601594,0.723218,63296,12700,2.7994e+06,744411,-25.2275,-21.0757,-18.5024,-14.2607,265163,277306,190500,11442,0,0,0,0,0,0,0,0,129871,134831,127517,9088,135292,142475,62983,2354
