erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0315445,0,771,108273,1000001,-38.1192,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,555201,0,0,0,444800,0,0,0
2,2000,0,0,0.0617954,0,771,169370,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,522058,0,0,0,477943,0,0,0
3,3000,0,0,0.0899125,0,771,232256,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,499248,0,0,0,500753,0,0,0
4,4000,0,0,0.116538,0,771,289154,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,497090,0,0,0,502911,0,0,0
5,5000,0,0,0.143668,0,771,361175,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,513953,0,0,0,486048,0,0,0
6,6000,0,0,0.170868,0,771,437380,1000001,-25.2234,-30.3372,-99,-99,1e+06,1,0,0,0,0,0,0,0,0,0,0,528485,1,0,0,471515,0,0,0
7,7000,8.99999e-06,2.8202e-05,0.19824,0,774,519215,999992,-25.2234,-24.8958,-99,-99,999979,13,0,0,0,0,0,0,0,0,0,0,531768,11,0,0,468211,2,0,0
8,8000,0.000171,0.000535839,0.229051,0,774,626500,999830,-25.2234,-24.8958,-99,-99,999829,1,0,0,0,0,0,0,0,0,0,0,529689,1,0,0,470140,0,0,0
9,9000,0.000752999,0.00235957,0.251411,0,774,692036,999248,-25.2052,-24.8958,-99,-99,999247,1,0,0,0,0,0,0,0,0,0,0,526995,1,0,0,472252,0,0,0
10,10000,0.002792,0.0087489,0.276506,0,774,777809,997209,-25.2234,-24.8958,-99,-99,997208,1,0,0,0,0,0,0,0,0,0,0,520275,0,0,0,476933,1,0,0
11,11000,0.00766699,0.0240026,0.292976,0,774,863582,992334,-25.2052,-24.8958,-99,-99,992333,1,0,0,0,0,0,0,0,0,0,0,513300,1,0,0,479033,0,0,0
12,12000,0.014553,0.0455654,0.31038,0,774,893387,985448,-25.2234,-24.8958,-99,-99,985447,1,0,0,0,0,0,0,0,0,0,0,504673,1,0,0,480774,0,0,0
13,13000,0.021428,0.0669762,0.324309,0,774,988448,978573,-25.2234,-99,-99,-99,978573,0,0,0,0,0,0,0,0,0,0,0,502968,0,0,0,475605,0,0,0
14,14000,0.028244,0.0882376,0.338228,0,774,1.09598e+06,971757,-25.2234,-24.8958,-99,-99,971756,1,0,0,0,0,0,0,0,0,0,0,504679,0,0,0,467077,1,0,0
15,15000,0.036099,0.112579,0.35081,0,774,1.12813e+06,963902,-25.2234,-99,-99,-99,963902,0,0,0,0,0,0,0,0,0,0,0,505787,0,0,0,458115,0,0,0
16,16000,0.042541,0.132421,0.361357,0,774,1.26327e+06,957460,-25.2234,-99,-99,-99,957460,0,0,0,0,0,0,0,0,0,0,0,505332,0,0,0,452128,0,0,0
17,17000,0.048733,0.151154,0.375104,0,774,1.36123e+06,951268,-25.2234,-99,-99,-99,951268,0,0,0,0,0,0,0,0,0,0,0,502552,0,0,0,448716,0,0,0
18,18000,0.0555339,0.170625,0.385811,0,774,1.4312e+06,944467,-25.2234,-99,-99,-99,944467,0,0,0,0,0,0,0,0,0,0,0,498368,0,0,0,446099,0,0,0
19,19000,0.0615169,0.187421,0.393711,0,774,1.46454e+06,938484,-25.2234,-99,-99,-99,938484,0,0,0,0,0,0,0,0,0,0,0,492719,0,0,0,445765,0,0,0
20,20000,0.0669019,0.201945,0.405389,0,774,1.47187e+06,933099,-25.2234,-99,-99,-99,933099,0,0,0,0,0,0,0,0,0,0,0,488093,0,0,0,445006,0,0,0
21,21000,0.0729149,0.217789,0.414724,0,774,1.53097e+06,927086,-25.2234,-99,-99,-99,927086,0,0,0,0,0,0,0,0,0,0,0,485303,0,0,0,441783,0,0,0
22,22000,0.0788519,0.232823,0.422321,0,774,1.63295e+06,921149,-25.2234,-24.879,-99,-99,921148,1,0,0,0,0,0,0,0,0,0,0,481959,1,0,0,439189,0,0,0
23,23000,0.0844829,0.24643,0.430943,0,774,1.72378e+06,915518,-25.2234,-24.879,-99,-99,915515,3,0,0,0,0,0,0,0,0,0,0,480242,3,0,0,435273,0,0,0
