erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.014145,0,1201,113456,1000001,-99,-99,-99,-99,1e+06,0,0,0,0,0,0,0,598668,0,0,0,400176,0,0,0,1157,0,0,0
2,2000,0,0,0.0275505,0,1201,161768,1000001,-36.2415,-99,-99,-99,1e+06,0,0,0,0,0,0,0,548870,0,0,0,411530,0,0,0,39601,0,0,0
3,3000,0,0,0.0397601,0,1201,213323,1000001,-36.2415,-99,-99,-99,1e+06,0,0,0,0,0,0,0,519733,0,0,0,431693,0,0,0,48575,0,0,0
4,4000,0,0,0.0520599,0,1201,277577,1000001,-36.2415,-99,-99,-99,1e+06,0,0,0,0,0,0,0,504848,0,0,0,434687,0,0,0,60466,0,0,0
5,5000,0,0,0.0647132,0,1201,333481,1000001,-32.3819,-99,-99,-99,1e+06,0,0,0,0,0,0,0,486745,0,0,0,444007,0,0,0,69249,0,0,0
6,6000,0,0,0.0774098,0,1201,396119,1000001,-32.3819,-99,-99,-99,1e+06,0,0,0,0,0,0,0,475936,0,0,0,451283,0,0,0,72782,0,0,0
7,7000,0,0,0.0900198,0,1201,445008,1000001,-32.2706,-99,-99,-99,1e+06,0,0,0,0,0,0,0,469289,0,0,0,453351,0,0,0,77361,0,0,0
8,8000,0,0,0.102228,0,1201,523851,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,463297,0,0,0,451791,0,0,0,84913,0,0,0
9,9000,0,0,0.114464,0,1201,579876,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,453949,0,0,0,449705,0,0,0,96347,0,0,0
10,10000,0,0,0.126972,0,1201,639111,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,448185,0,0,0,445962,0,0,0,105854,0,0,0
11,11000,0,0,0.139729,0,1201,705157,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,446439,0,0,0,437676,0,0,0,115886,0,0,0
12,12000,0,0,0.152594,0,1201,772252,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,439212,0,0,0,433409,0,0,0,127380,0,0,0
13,13000,0,0,0.165341,0,1201,805767,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,438170,0,0,0,427324,0,0,0,134507,0,0,0
14,14000,0,0,0.177706,0,1201,885988,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,436928,0,0,0,419882,0,0,0,143191,0,0,0
15,15000,0,0,0.189872,0,1201,1.0019e+06,1000001,-25.3906,-23.9299,-99,-99,999992,9,0,0,0,0,0,0,433007,9,0,0,414460,0,0,0,152525,0,0,0
16,16000,0,0,0.202179,0,1201,1.03898e+06,1000001,-25.3906,-23.9299,-99,-99,999975,26,0,0,0,0,0,0,430371,21,0,0,409560,0,0,0,160044,5,0,0
17,17000,0,0,0.214455,0,1201,1.08912e+06,1000001,-25.3906,-23.9299,-99,-99,999954,47,0,0,0,0,0,0,426237,29,0,0,406959,8,0,0,166758,10,0,0
18,18000,0,0,0.227026,0,1201,1.11792e+06,1000001,-25.3906,-23.3996,-99,-99,999803,198,0,0,0,0,0,0,426309,181,0,0,403249,9,0,0,170245,8,0,0
19,19000,0,0,0.240292,0,1201,1.23187e+06,1000001,-25.3906,-23.3996,-99,-99,998972,1029,0,0,0,0,0,0,426017,748,0,0,398896,106,0,0,174059,175,0,0
20,20000,0,0,0.253232,0,1201,1.28125e+06,1000001,-25.3906,-23.3996,-99,-99,998542,1459,0,0,0,0,0,0,426790,744,0,0,396579,426,0,0,175173,289,0,0
21,21000,0,0,0.266539,0,1201,1.41703e+06,1000001,-25.3906,-23.3996,-99,-99,998631,1370,0,0,0,0,0,0,425532,658,0,0,394863,429,0,0,178236,283,0,0
22,22000,0,0,0.279627,0,1201,1.49842e+06,1000001,-25.2801,-23.3009,-99,-99,998814,1187,0,0,0,0,0,0,425847,581,0,0,393598,387,0,0,179369,219,0,0
23,23000,6.59999e-05,0.000206815,0.294803,20,1201,1.59857e+06,999935,-25.1715,-23.3009,-99,-99,998301,1634,0,0,0,0,0,0,425505,918,0,0,392487,417,0,0,180309,299,0,0
24,24000,0.001031,0.0032307,0.305934,399,1201,1.74059e+06,998970,-25.0158,-22.974,-99,-99,996982,1988,0,0,0,0,0,0,425117,928,0,0,391801,607,0,0,180064,453,0,0
25,25000,0.003787,0.0118668,0.316557,1478,1201,1.88939e+06,996214,-25.0158,-22.974,-99,-99,993974,2240,0,0,0,0,0,0,422752,1181,0,0,390059,591,0,0,181163,468,0,0
26,26000,0.00691399,0.0216654,0.328019,2699,1263,2.02629e+06,993087,-25.0158,-22.974,-99,-99,990613,2474,0,0,0,0,0,0,419995,1204,0,0,388602,756,0,0,182016,514,0,0
27,27000,0.00997699,0.0312635,0.336616,3688,1263,1.9323e+06,990024,-25.0158,-22.974,-99,-99,987693,2331,0,0,0,0,0,0,418446,1081,0,0,387276,720,0,0,181971,530,0,0
28,28000,0.01357,0.0425224,0.345198,3910,1263,2.05687e+06,986431,-25.0158,-22.974,-99,-99,983996,2435,0,0,0,0,0,0,417823,1010,0,0,383426,908,0,0,182747,517,0,0
29,29000,0.017951,0.0562505,0.352502,4248,1263,2.04758e+06,982050,-25.0158,-22.974,-99,-99,979887,2163,0,0,0,0,0,0,415641,1060,0,0,381782,730,0,0,182464,373,0,0
30,30000,0.022178,0.0694961,0.359194,4715,1263,2.2937e+06,977823,-25.0158,-22.974,-99,-99,975536,2287,0,0,0,0,0,0,413590,1082,0,0,377502,727,0,0,184444,478,0,0
31,31000,0.025786,0.080802,0.367047,4849,1325,2.19892e+06,974215,-25.0158,-22.9271,-99,-99,972082,2133,0,0,0,0,0,0,409285,974,0,0,376326,690,0,0,186471,469,0,0
32,32000,0.029919,0.093753,0.374239,5081,1325,2.22472e+06,970082,-25.0158,-22.974,-99,-99,967398,2684,0,0,0,0,0,0,407425,1417,0,0,373033,757,0,0,186940,510,0,0
33,33000,0.033693,0.105579,0.381445,5288,1325,2.29154e+06,966308,-25.0158,-22.6229,-99,-99,963768,2540,0,0,0,0,0,0,405898,1337,0,0,371058,676,0,0,186812,527,0,0
34,34000,0.037265,0.116772,0.386831,5935,1325,2.38544e+06,962736,-25.0158,-22.6229,-99,-99,960033,2703,0,0,0,0,0,0,404919,1303,0,0,368262,793,0,0,186852,607,0,0
35,35000,0.04055,0.127066,0.392964,6212,1325,2.51274e+06,959451,-25.0158,-22.6229,-99,-99,956681,2770,0,0,0,0,0,0,403928,1268,0,0,365982,867,0,0,186771,635,0,0
36,36000,0.043652,0.136786,0.400305,5983,1325,2.70267e+06,956349,-25.0158,-22.6229,-99,-99,953324,3025,0,0,0,0,0,0,403902,1426,0,0,363026,927,0,0,186396,672,0,0
37,37000,0.04713,0.147685,0.406477,5700,1325,2.69322e+06,952871,-25.0158,-22.6229,-99,-99,949808,3063,0,0,0,0,0,0,403030,1448,0,0,359932,941,0,0,186846,674,0,0
38,38000,0.0500869,0.156951,0.412796,6434,1325,2.53595e+06,949914,-25.0158,-22.6229,-99,-99,946879,3035,0,0,0,0,0,0,399992,1558,0,0,358620,914,0,0,188267,563,0,0
