erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0314345,0,9700,123589,1000001,-33.9794,-31.0791,-28.4164,-27.122,301578,298265,376328,23830,0,0,0,0,205390,156349,165450,13479,93984,132896,182176,10351,2204,9020,28702,0
2,2000,0,0,0.0596037,0,9700,177807,1000001,-33.7675,-26.9027,-22.8208,-22.8208,302186,301464,374378,21973,0,0,0,0,196626,146820,159926,11917,98384,141643,190561,10056,7176,13001,23891,0
3,3000,0,0,0.085504,0,9700,234327,1000001,-30.1768,-26.3067,-22.8208,-22.8208,304274,303154,370969,21604,0,0,0,0,191179,137703,142804,11771,100961,144777,195936,9831,12134,20674,32229,2
4,4000,0,0,0.111697,0,9700,284739,1000001,-29.2076,-25.8826,-22.8208,-22.8208,306057,304770,368173,21001,0,0,0,0,187240,128932,135039,11169,104925,150195,197383,9750,13892,25643,35751,82
5,5000,0,0,0.137483,0,9700,350555,1000001,-28.9957,-25.8826,-22.8208,-22.348,306743,306483,366631,20144,0,0,0,0,181765,124487,128648,9536,106603,154961,201849,9748,18375,27035,36134,860
6,6000,0,0,0.164562,0,9700,410600,1000001,-26.1967,-23.2953,-19.203,-14.3597,306335,309051,364854,19761,0,0,0,0,176846,123973,125925,7778,106764,157329,201782,9561,22725,27749,37147,2422
7,7000,0,0,0.192116,0,9700,492914,1000001,-26.1967,-22.9733,-18.5952,-14.3597,306258,310824,361830,21089,0,0,0,0,171868,122823,122882,7782,109436,157432,194460,8237,24954,30569,44488,5070
8,8000,0,0,0.219568,0,9700,581336,1000001,-26.1967,-22.9733,-18.5776,-14.3597,306848,311764,361341,20048,0,0,0,0,167459,122263,119735,7588,113158,154759,181405,6402,26231,34742,60201,6058
9,9000,2.6e-05,8.14726e-05,0.24554,11,9700,647578,999975,-25.9848,-21.0757,-18.5952,-14.3597,307725,311482,361926,18842,0,0,0,0,164776,119601,117435,7884,116757,152079,167413,5367,26192,39802,77078,5591
10,10000,0.002401,0.00752368,0.267345,1039,9700,729152,997600,-25.9848,-21.0757,-18.5776,-14.3597,308395,311426,360236,17543,0,0,0,0,163683,116821,113487,8430,118395,151457,157636,4562,26317,43148,89113,4551
11,11000,0.01061,0.0332471,0.279803,3341,9700,792981,989391,-25.9848,-21.0757,-18.5776,-14.3597,309321,311311,352726,16033,0,0,0,0,162464,113731,109222,8910,119450,150987,146932,3641,27407,46593,96572,3482
12,12000,0.019083,0.0597977,0.292114,4351,9700,884288,980918,-25.9848,-21.0757,-18.5326,-14.3597,309766,310336,345202,15614,0,0,0,0,159347,112255,109413,10412,120345,150501,137594,3021,30074,47580,98195,2181
13,13000,0.02621,0.0821288,0.303047,5101,9700,930903,973791,-25.9848,-21.0757,-18.5326,-14.3597,309936,309104,338602,16149,0,0,0,0,156404,111772,114963,12223,121655,148827,128581,2538,31877,48505,95058,1388
