erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0164095,0,771,130262,1000001,-99,-99,-99,-99,1e+06,0,0,0,0,0,0,0,586855,0,0,0,400184,0,0,0,12962,0,0,0
2,2000,0,0,0.0321461,0,771,189820,1000001,-38.1192,-99,-99,-99,1e+06,0,0,0,0,0,0,0,533164,0,0,0,423903,0,0,0,42934,0,0,0
3,3000,0,0,0.0467727,0,771,247898,1000001,-38.1192,-99,-99,-99,1e+06,0,0,0,0,0,0,0,506893,0,0,0,434749,0,0,0,58359,0,0,0
4,4000,0,0,0.0606234,0,771,319928,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,490503,0,0,0,447814,0,0,0,61684,0,0,0
5,5000,0,0,0.0747366,0,771,389732,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,474171,0,0,0,445207,0,0,0,80623,0,0,0
6,6000,0,0,0.0888857,0,771,437732,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,455521,0,0,0,430249,0,0,0,114231,0,0,0
7,7000,0,0,0.10359,0,771,525408,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,444019,0,0,0,415096,0,0,0,140886,0,0,0
8,8000,0,0,0.117978,0,771,587486,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,427258,0,0,0,412371,0,0,0,160372,0,0,0
9,9000,0,0,0.132511,0,771,681473,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,430560,0,0,0,406314,0,0,0,163127,0,0,0
10,10000,0,0,0.147039,0,771,730175,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,438979,0,0,0,400114,0,0,0,160908,0,0,0
11,11000,0,0,0.161856,0,771,835814,1000001,-33.3477,-99,-99,-99,1e+06,0,0,0,0,0,0,0,449817,0,0,0,393317,0,0,0,156867,0,0,0
12,12000,0,0,0.176195,0,771,865033,1000001,-25.2234,-24.8958,-99,-99,999997,4,0,0,0,0,0,0,455390,4,0,0,388956,0,0,0,155651,0,0,0
13,13000,0,0,0.189512,0,771,982041,1000001,-25.2234,-24.8958,-99,-99,999987,14,0,0,0,0,0,0,457835,14,0,0,383517,0,0,0,158635,0,0,0
14,14000,1.8e-05,5.64041e-05,0.204702,0,774,1.07886e+06,999983,-25.2234,-24.8958,-99,-99,999971,12,0,0,0,0,0,0,456430,5,0,0,383593,5,0,0,159948,2,0,0
15,15000,3.9e-05,0.000122209,0.218538,0,774,1.13724e+06,999962,-25.2234,-24.8958,-99,-99,999957,5,0,0,0,0,0,0,455985,3,0,0,383645,2,0,0,160327,0,0,0
16,16000,0.000132,0.00041363,0.230602,0,774,1.24894e+06,999869,-25.2052,-24.8958,-99,-99,999865,4,0,0,0,0,0,0,454522,3,0,0,384657,1,0,0,160686,0,0,0
17,17000,0.000293,0.000918133,0.245592,0,774,1.40769e+06,999708,-25.2052,-24.8958,-99,-99,999707,1,0,0,0,0,0,0,452431,1,0,0,386168,0,0,0,161108,0,0,0
18,18000,0.000867999,0.00271993,0.257181,0,774,1.5094e+06,999133,-25.2234,-24.8958,-99,-99,999131,2,0,0,0,0,0,0,450212,1,0,0,388565,1,0,0,160354,0,0,0
19,19000,0.001678,0.00525812,0.2697,0,774,1.44838e+06,998323,-25.2234,-24.8958,-99,-99,998322,1,0,0,0,0,0,0,446865,0,0,0,390721,0,0,0,160736,1,0,0
20,20000,0.003324,0.0104141,0.28194,0,774,1.55423e+06,996677,-25.2052,-24.8958,-99,-99,996676,1,0,0,0,0,0,0,444306,1,0,0,392444,0,0,0,159926,0,0,0
21,21000,0.00582799,0.0182549,0.289254,0,774,1.70553e+06,994173,-25.2234,-99,-99,-99,994173,0,0,0,0,0,0,0,439376,0,0,0,391999,0,0,0,162798,0,0,0
22,22000,0.00835899,0.0261785,0.299547,0,774,1.80662e+06,991642,-25.2052,-99,-99,-99,991642,0,0,0,0,0,0,0,435066,0,0,0,391374,0,0,0,165202,0,0,0
23,23000,0.011475,0.0359129,0.309131,0,774,1.75833e+06,988526,-25.2052,-24.8958,-99,-99,988525,1,0,0,0,0,0,0,429267,0,0,0,389398,1,0,0,169860,0,0,0
24,24000,0.01491,0.0466561,0.317899,0,774,1.90143e+06,985091,-25.2052,-99,-99,-99,985091,0,0,0,0,0,0,0,426040,0,0,0,386665,0,0,0,172386,0,0,0
25,25000,0.018792,0.0587423,0.324068,0,774,2.00542e+06,981209,-25.2234,-99,-99,-99,981209,0,0,0,0,0,0,0,423716,0,0,0,383387,0,0,0,174106,0,0,0
26,26000,0.022416,0.0700666,0.332637,0,774,2.10149e+06,977585,-25.2234,-24.8958,-99,-99,977584,1,0,0,0,0,0,0,422986,1,0,0,379187,0,0,0,175411,0,0,0
27,27000,0.026491,0.0827202,0.339422,0,774,2.28338e+06,973510,-25.2234,-99,-99,-99,973510,0,0,0,0,0,0,0,423241,0,0,0,375240,0,0,0,175029,0,0,0
28,28000,0.029971,0.0935616,0.344095,0,774,2.22141e+06,970030,-25.2234,-24.8958,-99,-99,970029,1,0,0,0,0,0,0,424503,1,0,0,371533,0,0,0,173993,0,0,0
29,29000,0.033365,0.104134,0.35166,0,774,2.78875e+06,966636,-25.2052,-24.8958,-99,-99,966635,1,0,0,0,0,0,0,425077,0,0,0,367683,0,0,0,173875,1,0,0
