erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 1, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0104674, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 362061, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :583728, conexiones exitosas con 8QAM :343358, conexiones exitosas con QPSK :72915, conexiones exitosas con BPSK :0
erlang index: 2, erlang: 2000, general blocking: 0, BBP: 0, Total current utilization: 0.0191082, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 488521, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :613577, conexiones exitosas con 8QAM :320768, conexiones exitosas con QPSK :65656, conexiones exitosas con BPSK :0
erlang index: 3, erlang: 3000, general blocking: 0, BBP: 0, Total current utilization: 0.0264212, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 641230, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :648898, conexiones exitosas con 8QAM :289474, conexiones exitosas con QPSK :61629, conexiones exitosas con BPSK :0
erlang index: 4, erlang: 4000, general blocking: 0, BBP: 0, Total current utilization: 0.0339821, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 854856, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -40.9691, Max XT for modulation 8QAM: -37.8252, Max XT for modulation QPSK: -36.2415, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :676542, conexiones exitosas con 8QAM :265884, conexiones exitosas con QPSK :57575, conexiones exitosas con BPSK :0
erlang index: 5, erlang: 5000, general blocking: 0, BBP: 0, Total current utilization: 0.0423214, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.08577e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation QPSK: -36.2415, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :689052, conexiones exitosas con 8QAM :255693, conexiones exitosas con QPSK :55256, conexiones exitosas con BPSK :0
erlang index: 6, erlang: 6000, general blocking: 0, BBP: 0, Total current utilization: 0.0498225, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.32718e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation QPSK: -36.2415, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :698645, conexiones exitosas con 8QAM :250581, conexiones exitosas con QPSK :50775, conexiones exitosas con BPSK :0
erlang index: 7, erlang: 7000, general blocking: 0, BBP: 0, Total current utilization: 0.0574779, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.61922e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -37.5647, Max XT for modulation QPSK: -36.2415, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :710750, conexiones exitosas con 8QAM :241057, conexiones exitosas con QPSK :48194, conexiones exitosas con BPSK :0
erlang index: 8, erlang: 8000, general blocking: 0, BBP: 0, Total current utilization: 0.0652395, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.94885e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -36.2415, Max XT for modulation 8QAM: -33.8424, Max XT for modulation QPSK: -32.3819, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :721122, conexiones exitosas con 8QAM :231433, conexiones exitosas con QPSK :47446, conexiones exitosas con BPSK :0
erlang index: 9, erlang: 9000, general blocking: 0, BBP: 0, Total current utilization: 0.0726964, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 2.32298e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -33.253, Max XT for modulation QPSK: -32.3819, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :726296, conexiones exitosas con 8QAM :226187, conexiones exitosas con QPSK :47518, conexiones exitosas con BPSK :0
erlang index: 10, erlang: 10000, general blocking: 0, BBP: 0, Total current utilization: 0.0807237, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 2.70597e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -32.3819, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :730977, conexiones exitosas con 8QAM :223167, conexiones exitosas con QPSK :45857, conexiones exitosas con BPSK :0
erlang index: 11, erlang: 11000, general blocking: 0, BBP: 0, Total current utilization: 0.0889212, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 3.11888e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.3819, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -32.2706, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :731846, conexiones exitosas con 8QAM :223921, conexiones exitosas con QPSK :44234, conexiones exitosas con BPSK :0
