erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 1, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0272763, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 388783, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -31.0791, Max XT for modulation QPSK: -28.4164, Max XT for modulation BPSK: -27.122, conexiones exitosas con 16QAM :88173, conexiones exitosas con 8QAM :192202, conexiones exitosas con QPSK :462307, conexiones exitosas con BPSK :257319
erlang index: 2, erlang: 2000, general blocking: 0, BBP: 0, Total current utilization: 0.0475936, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 530514, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -34.9485, Max XT for modulation 8QAM: -26.9027, Max XT for modulation QPSK: -23.828, Max XT for modulation BPSK: -22.8208, conexiones exitosas con 16QAM :94917, conexiones exitosas con 8QAM :207929, conexiones exitosas con QPSK :464519, conexiones exitosas con BPSK :232636
erlang index: 3, erlang: 3000, general blocking: 0, BBP: 0, Total current utilization: 0.0674119, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 715169, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -30.1768, Max XT for modulation 8QAM: -26.3067, Max XT for modulation QPSK: -23.7655, Max XT for modulation BPSK: -22.8208, conexiones exitosas con 16QAM :98652, conexiones exitosas con 8QAM :215461, conexiones exitosas con QPSK :461685, conexiones exitosas con BPSK :224203
erlang index: 4, erlang: 4000, general blocking: 0, BBP: 0, Total current utilization: 0.0865737, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 927044, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -30.1768, Max XT for modulation 8QAM: -26.3067, Max XT for modulation QPSK: -23.6431, Max XT for modulation BPSK: -22.348, conexiones exitosas con 16QAM :103477, conexiones exitosas con 8QAM :219555, conexiones exitosas con QPSK :459973, conexiones exitosas con BPSK :216996
erlang index: 5, erlang: 5000, general blocking: 0, BBP: 0, Total current utilization: 0.105862, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 1.1918e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -30.1768, Max XT for modulation 8QAM: -23.2953, Max XT for modulation QPSK: -20.6307, Max XT for modulation BPSK: -14.3597, conexiones exitosas con 16QAM :108434, conexiones exitosas con 8QAM :220752, conexiones exitosas con QPSK :453602, conexiones exitosas con BPSK :217213
erlang index: 6, erlang: 6000, general blocking: 0, BBP: 0, Total current utilization: 0.12697, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 1.53704e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -30.1768, Max XT for modulation 8QAM: -23.2953, Max XT for modulation QPSK: -18.5952, Max XT for modulation BPSK: -14.3597, conexiones exitosas con 16QAM :111635, conexiones exitosas con 8QAM :221729, conexiones exitosas con QPSK :443176, conexiones exitosas con BPSK :223461
erlang index: 7, erlang: 7000, general blocking: 0, BBP: 0, Total current utilization: 0.1469, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 1.9549e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -28.068, Max XT for modulation 8QAM: -23.2953, Max XT for modulation QPSK: -18.5776, Max XT for modulation BPSK: -14.3597, conexiones exitosas con 16QAM :113821, conexiones exitosas con 8QAM :224093, conexiones exitosas con QPSK :434559, conexiones exitosas con BPSK :227528
erlang index: 8, erlang: 8000, general blocking: 2e-06, BBP: 6.26712e-06, Total current utilization: 0.167437, Blocked by XT: 0, Ruta mas larga: 9700, tiempo transcurrido: 2.36582e+06, conexiones exitosas: 999999, Max XT for modulation 16QAM: -28.068, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5776, Max XT for modulation BPSK: -14.3597, conexiones exitosas con 16QAM :115704, conexiones exitosas con 8QAM :226759, conexiones exitosas con QPSK :427823, conexiones exitosas con BPSK :229713
erlang index: 9, erlang: 9000, general blocking: 0.001715, BBP: 0.00537406, Total current utilization: 0.188573, Blocked by XT: 576, Ruta mas larga: 9700, tiempo transcurrido: 2.82113e+06, conexiones exitosas: 998286, Max XT for modulation 16QAM: -27.1661, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.3597, conexiones exitosas con 16QAM :116767, conexiones exitosas con 8QAM :229868, conexiones exitosas con QPSK :420908, conexiones exitosas con BPSK :230743
erlang index: 10, erlang: 10000, general blocking: 0.00844399, BBP: 0.0264598, Total current utilization: 0.195751, Blocked by XT: 2211, Ruta mas larga: 9700, tiempo transcurrido: 3.21835e+06, conexiones exitosas: 991557, Max XT for modulation 16QAM: -27.1661, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :119726, conexiones exitosas con 8QAM :231360, conexiones exitosas con QPSK :410645, conexiones exitosas con BPSK :229826
erlang index: 11, erlang: 11000, general blocking: 0.01728, BBP: 0.0541423, Total current utilization: 0.204337, Blocked by XT: 3946, Ruta mas larga: 9800, tiempo transcurrido: 3.65875e+06, conexiones exitosas: 982721, Max XT for modulation 16QAM: -27.1661, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.2121, conexiones exitosas con 16QAM :122770, conexiones exitosas con 8QAM :232430, conexiones exitosas con QPSK :400043, conexiones exitosas con BPSK :227478
